Species	Au_1	Au_2	Au_3	Au_4	Au_5	Au_6	HC_De_1	HC_De_2	HC_De_3	HC_Sp_1	HC_Sp_2	HC_Sp_3	HLB_De_1	HLB_De_2	HLB_De_3	HLB_Sp_1	HLB_Sp_2	HLB_Sp_3	sus_HLB_1	sus_HLB_2	sus_HLB_3	sus_HLB_4	sus_HLB_5	sus_HLB_6
Herminiimonas arsenicoxydans	0	0	1	3	0	0	0	0	0	3	11	1	1	0	0	5.642	2	3	0	0.5	0	0	0	3
Herminiimonas arsenicoxydans	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0
Herminiimonas arsenicoxydans	0	0	0	9	1	0	0	0	0	2	14	2	1	0	0	6	0	0	0	0	0	0	0	0
Enterobacter sp. 638	2.086	0	0	0	0	0	0	0	0	14	1	0	0	0	0	7.965	2	42.038	0	0	0	0	0	0
Enterobacter sp. 638	1	0	0	0	0	0	0	0	0	18	3	0	0	0	0	9	3	79	0	0	0	0	0	0
Enterobacter sp. 638	1	0	0	0	0	0	0	0	0	10	0	1	0	0	0	10	0	96	0	0	0	1	0	0
Caenorhabditis elegans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Homo sapiens	15	13	47	33	4	12	52	15	13	20	28	16	25	9	11	385	9	149	0	0	0	0	1	0
Lactococcus cremoris	19	41.226	38.348	37	36	42	0	0	0	1	2	0	0	0	0	13	0	7.819	0	0	0	0	0	0
Stylochus zebra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.154	0	0	0	0	0	0	0
Lactococcus lactis	6	4	4	4	6	7	0	0	0	7	2	0	0	0	0	32	9	32	0	0	0	0	0	0
Synechococcus elongatus	3	3	2.047	0	0	1	1	1	1	1	2	0	29	5.7	3	45	5	28	0	0	0	0	0	0
Ascaridia galli	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	10	0
Haemophilus influenzae	2	1	2	0	0	0	0	0	0	24	1	1	0	0	0	8	1	63	0	0	0	0	0	0
Heterodera glycines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bradyrhizobium japonicum	1	1	2	0	0	3	1	0	0	2	0	0	1	1	2	1	2	0	0	1	2.862	2	1	5.464
Novosphingobium aromaticivorans	6	40	59	25	35	66	8	11	3	9	6	8	6	6	2	5	5	8	3	1	6	17	24	22
Novosphingobium aromaticivorans	1	0	0	0	0	0	0	2	0	4	1	0	0	0	1	1	0	0	4	1	1	21	5	3
Lactococcus lactis	1	4	3	3	1	2	0	0	0	4	3	0	0	0	0	28	7	9	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	0	0	0	0	0	0	0	41.886	4	1	0	0	1.095	19.23	1	75.379	0	0	0	0	0	0
Heterodera glycines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Homo sapiens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	8	36	8
Ralstonia pickettii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	5	13	6
Ralstonia pickettii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	19	1
Medicago sativa	1	0	0	2	1	0	1	0	1	4	2	1	5	0	2.013	74	1	1	0	1	0	1.015	1	0
Sus scrofa	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Sus scrofa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0
Methylophaga thalassica	4	5	4	1	2	4	1	0	15	26	12	7	2	1	4	6	1	7	0	0	0	0	0	0
