id	WR260141T	WR260142T	WR260145T	WR260146T
ENSMUSG00000104478	0	0	0	0
ENSMUSG00000104385	0	0	0	0
ENSMUSG00000101231	0	0	0	0
ENSMUSG00000101097	0	0	0	0
ENSMUSG00000100764	0	0	0	0
ENSMUSG00000100831	0	0	0	0
ENSMUSG00000100884	0	0	0	0
ENSMUSG00000100635	0	0	0	0
ENSMUSG00000100480	0	0	0	0
ENSMUSG00000089037	0	0	0	0
ENSMUSG00002076531	0	0	0	0
ENSMUSG00000100025	0	0	0	0
ENSMUSG00000026312	0	0	0	0
ENSMUSG00000100290	0	0	0	0
ENSMUSG00000100758	0	0	0	0
ENSMUSG00000099926	0	0	0	0
ENSMUSG00000039748	1	1	4	5
ENSMUSG00000118715	0	0	0	0
ENSMUSG00000104158	0	0	0	0
ENSMUSG00000103540	0	0	0	0
ENSMUSG00000057363	50	44	81	71
ENSMUSG00000047216	0	0	0	0
ENSMUSG00000102788	0	0	0	0
ENSMUSG00000102160	0	0	0	0
ENSMUSG00000101253	0	0	0	0
ENSMUSG00000101846	0	0	0	0
ENSMUSG00000090243	0	2	0	0
ENSMUSG00000100701	5	6	4	2
ENSMUSG00000100555	1	6	8	6
ENSMUSG00000101395	1	0	2	0
ENSMUSG00000102728	0	0	0	0
ENSMUSG00000088848	0	0	0	0
ENSMUSG00002075225	0	0	0	0
ENSMUSG00000038702	6	3	16	7
ENSMUSG00000101875	0	0	0	0
ENSMUSG00000099732	0	0	0	0
ENSMUSG00000101220	0	0	0	0
ENSMUSG00000100020	0	0	0	0
ENSMUSG00000088691	0	0	0	0
ENSMUSG00000099884	0	0	0	0
ENSMUSG00000100304	0	0	0	0
ENSMUSG00000101453	0	0	0	0
ENSMUSG00000102105	0	0	0	0
ENSMUSG00000099943	0	0	0	0
ENSMUSG00002075119	0	0	0	0
ENSMUSG00000101687	0	0	0	0
ENSMUSG00000055214	0	0	0	0
ENSMUSG00000078184	167	121	121	128
ENSMUSG00000104363	0	0	0	0
ENSMUSG00000103277	0	0	0	0
ENSMUSG00000104157	0	0	0	0
ENSMUSG00000102446	0	0	0	0
ENSMUSG00000104248	0	0	0	0
ENSMUSG00000103471	0	0	0	0
ENSMUSG00000087875	0	0	0	0
ENSMUSG00000070695	0	0	0	0
ENSMUSG00002076179	0	0	0	0
ENSMUSG00000102033	0	0	0	0
ENSMUSG00000094429	0	0	0	0
ENSMUSG00000065625	0	0	0	0
ENSMUSG00000103411	0	0	0	0
ENSMUSG00000061024	5	6	4	8
ENSMUSG00000102030	0	0	0	0
ENSMUSG00000025911	1	2	4	0
ENSMUSG00000081441	8	6	4	6
ENSMUSG00000067879	0	0	0	0
ENSMUSG00000099827	0	0	0	0
ENSMUSG00000057335	26	22	56	50
ENSMUSG00000103634	0	0	0	0
ENSMUSG00000104154	0	0	0	0
ENSMUSG00000065573	0	0	0	0
ENSMUSG00002076271	0	0	0	0
ENSMUSG00000025912	32	44	93	80
ENSMUSG00000045210	52	44	86	101
ENSMUSG00000041763	49	45	128	162
ENSMUSG00000026504	0	0	0	1
ENSMUSG00000103367	0	0	0	0
ENSMUSG00000103584	0	0	0	0
ENSMUSG00002076339	0	0	0	0
ENSMUSG00000102475	0	0	0	0
ENSMUSG00000047343	0	0	0	0
ENSMUSG00000102211	0	0	0	0
ENSMUSG00000090106	0	0	0	0
ENSMUSG00000103251	0	0	0	0
ENSMUSG00000091844	0	0	0	0
ENSMUSG00000026483	3	5	6	4
ENSMUSG00000098611	0	0	0	0
ENSMUSG00000100534	0	0	0	0
ENSMUSG00000102904	0	0	0	0
ENSMUSG00002076350	0	0	0	0
ENSMUSG00000019699	52	28	56	72
ENSMUSG00000104391	0	0	0	0
ENSMUSG00000102133	0	0	0	0
ENSMUSG00000102749	0	0	0	0
ENSMUSG00000103163	0	0	0	0
ENSMUSG00000103646	0	0	0	0
ENSMUSG00000102427	0	0	0	0
ENSMUSG00000063659	15	19	40	11
ENSMUSG00000026049	6	5	10	12
ENSMUSG00000103767	0	0	0	0
ENSMUSG00000043019	5	7	29	12
ENSMUSG00000101104	0	0	0	0
ENSMUSG00000015962	0	0	0	0
ENSMUSG00000032666	13	18	26	28
ENSMUSG00000084557	0	0	0	0
ENSMUSG00000100685	0	0	0	0
ENSMUSG00000102090	0	0	0	0
ENSMUSG00000103744	0	0	0	0
ENSMUSG00000015961	73	55	160	108
ENSMUSG00000089657	0	0	0	0
ENSMUSG00000102483	0	0	0	0
ENSMUSG00000014980	8	3	4	7
ENSMUSG00000026235	19	14	29	23
ENSMUSG00000099141	0	0	0	0
ENSMUSG00000032649	0	0	0	0
ENSMUSG00000101849	0	0	0	0
ENSMUSG00000101506	0	0	0	0
ENSMUSG00000065215	0	0	0	0
ENSMUSG00000026047	5	4	8	6
ENSMUSG00000080878	0	0	0	0
ENSMUSG00000091476	0	0	0	0
ENSMUSG00000104097	0	0	0	0
ENSMUSG00000119789	0	0	0	0
ENSMUSG00000102493	0	0	0	0
ENSMUSG00000041684	4	2	7	9
ENSMUSG00000026048	1	2	0	0
ENSMUSG00000046828	0	0	0	0
ENSMUSG00000089703	0	0	0	0
ENSMUSG00000100966	0	0	0	0
ENSMUSG00000101567	216	173	158	152
ENSMUSG00000026245	4	6	9	5
ENSMUSG00000104018	0	0	0	0
ENSMUSG00000090486	0	0	0	0
ENSMUSG00000026482	2	2	3	10
ENSMUSG00000086145	0	0	0	0
ENSMUSG00000080950	0	0	0	0
ENSMUSG00000099868	0	0	0	0
ENSMUSG00000055547	0	0	0	0
ENSMUSG00000012187	0	0	0	0
ENSMUSG00000008475	60	41	70	81
ENSMUSG00000100562	0	0	0	0
ENSMUSG00000056870	0	3	2	1
ENSMUSG00000102319	0	0	0	0
ENSMUSG00000089877	0	0	0	0
ENSMUSG00000101701	0	0	0	0
ENSMUSG00000103071	0	0	0	0
ENSMUSG00000100434	0	0	0	0
ENSMUSG00000100013	0	0	0	0
ENSMUSG00000101251	0	0	0	0
ENSMUSG00000101937	0	0	0	0
ENSMUSG00002075531	0	0	0	0
ENSMUSG00000064954	0	0	0	0
ENSMUSG00000026495	0	0	0	0
ENSMUSG00000032883	20	11	20	17
ENSMUSG00000026480	0	0	0	0
ENSMUSG00000026494	3	1	14	13
ENSMUSG00000064967	0	0	0	0
ENSMUSG00000102922	0	0	0	0
ENSMUSG00000025915	1	0	8	4
ENSMUSG00000079470	1	0	0	4
ENSMUSG00000099377	4	5	20	10
ENSMUSG00000099706	0	0	0	0
ENSMUSG00000047330	0	0	0	0
ENSMUSG00000101324	0	0	0	0
ENSMUSG00000072978	6	5	7	5
ENSMUSG00000046334	0	0	0	0
ENSMUSG00002075801	0	0	0	0
ENSMUSG00000050711	0	0	0	0
ENSMUSG00000099562	0	0	0	0
ENSMUSG00000077782	0	0	0	0
ENSMUSG00000055067	1	4	5	3
ENSMUSG00000054702	0	1	0	3
ENSMUSG00000096474	0	0	0	0
ENSMUSG00000102235	0	0	0	0
ENSMUSG00000026492	0	0	0	0
ENSMUSG00000082395	0	0	0	0
ENSMUSG00000038949	0	0	0	6
ENSMUSG00000026043	458	339	821	664
ENSMUSG00000046101	0	0	0	0
ENSMUSG00002074901	0	0	0	0
ENSMUSG00000093178	0	0	0	0
ENSMUSG00000099032	0	0	0	0
ENSMUSG00000104025	0	0	0	0
ENSMUSG00000038936	11	4	21	13
ENSMUSG00000042772	44	47	83	92
ENSMUSG00000100394	0	0	0	0
ENSMUSG00000103840	0	0	0	0
ENSMUSG00000087236	0	0	0	0
ENSMUSG00000100702	0	0	0	0
ENSMUSG00000026042	256	254	397	377
ENSMUSG00000104476	0	0	0	0
ENSMUSG00000073643	0	2	6	1
ENSMUSG00000104497	0	0	0	0
ENSMUSG00000025916	0	0	0	0
ENSMUSG00000087199	0	0	0	0
ENSMUSG00000026248	1	1	2	0
ENSMUSG00000119658	0	0	0	0
ENSMUSG00000026249	0	0	1	0
ENSMUSG00000042751	0	0	1	0
ENSMUSG00000067106	14	12	24	9
ENSMUSG00000099969	0	0	0	0
ENSMUSG00000100397	0	0	0	0
ENSMUSG00000099753	0	0	0	0
ENSMUSG00000118883	0	0	0	0
ENSMUSG00000102518	0	0	0	0
ENSMUSG00000043230	0	0	0	0
ENSMUSG00000103404	0	0	0	0
ENSMUSG00000026491	2	4	15	10
ENSMUSG00000025917	31	26	43	33
ENSMUSG00000104418	13	2	4	4
ENSMUSG00000026479	60	54	15	29
ENSMUSG00000004364	115	85	281	277
ENSMUSG00000103076	0	0	0	0
ENSMUSG00000103525	0	0	0	0
ENSMUSG00000090637	0	0	0	0
ENSMUSG00000026478	51	38	55	91
ENSMUSG00000110100	0	0	0	0
ENSMUSG00000103818	0	0	0	0
ENSMUSG00000079138	0	0	0	0
ENSMUSG00000042708	0	2	0	0
ENSMUSG00000064435	0	0	0	0
ENSMUSG00000103543	0	0	0	0
ENSMUSG00000041144	0	0	0	0
ENSMUSG00000119743	0	0	0	0
ENSMUSG00000042699	86	68	163	179
ENSMUSG00000101262	62	55	129	119
ENSMUSG00000042684	0	0	1	1
ENSMUSG00000099858	0	0	0	0
ENSMUSG00000101337	0	0	0	0
ENSMUSG00000025986	5	0	2	3
ENSMUSG00000100213	0	0	0	0
ENSMUSG00000103129	0	0	0	0
ENSMUSG00000100160	0	0	0	0
ENSMUSG00000101921	0	0	0	0
ENSMUSG00000101447	0	0	0	0
ENSMUSG00000081185	2	1	9	7
ENSMUSG00000103246	0	0	0	0
ENSMUSG00000098876	0	0	0	0
ENSMUSG00000100530	0	0	0	0
ENSMUSG00000104067	0	0	0	0
ENSMUSG00000100033	12	3	11	18
ENSMUSG00002075213	0	0	0	0
ENSMUSG00002076633	0	0	0	0
ENSMUSG00000101996	0	0	0	0
ENSMUSG00000096973	0	0	0	0
ENSMUSG00000064943	0	0	0	0
ENSMUSG00000100866	0	0	0	0
ENSMUSG00000101721	0	0	0	0
ENSMUSG00000099376	0	0	0	0
ENSMUSG00000097883	0	0	0	0
ENSMUSG00002076043	0	0	0	0
ENSMUSG00000099698	0	0	0	0
ENSMUSG00000056763	0	0	0	0
ENSMUSG00000099454	0	0	0	0
ENSMUSG00000051616	0	0	0	0
ENSMUSG00000099627	0	0	0	0
ENSMUSG00000099577	0	0	0	0
ENSMUSG00000099882	0	0	0	0
ENSMUSG00000101760	0	0	0	0
ENSMUSG00000102356	0	0	0	0
ENSMUSG00000099864	0	0	0	0
ENSMUSG00002075839	0	0	0	0
ENSMUSG00000100451	0	0	0	0
ENSMUSG00000099941	0	0	0	0
ENSMUSG00002075589	0	0	0	0
ENSMUSG00000100816	0	0	0	0
ENSMUSG00000042671	0	0	0	0
ENSMUSG00000100945	0	0	0	0
ENSMUSG00000102404	0	0	0	0
ENSMUSG00000026109	5	10	13	6
ENSMUSG00000026475	0	0	0	0
ENSMUSG00000100671	0	0	0	0
ENSMUSG00002075527	0	0	0	0
ENSMUSG00000101242	0	0	0	0
ENSMUSG00000099924	0	0	0	0
ENSMUSG00000099625	0	0	0	0
ENSMUSG00000045954	2	4	9	14
ENSMUSG00000099741	0	0	0	0
ENSMUSG00000066800	0	0	0	0
ENSMUSG00000067851	14	6	70	44
ENSMUSG00002076532	0	0	0	0
ENSMUSG00000102556	0	0	0	0
ENSMUSG00000038608	0	0	0	0
ENSMUSG00000042501	0	0	0	0
ENSMUSG00000103810	0	0	0	0
ENSMUSG00000083422	0	0	0	0
ENSMUSG00000119312	0	0	0	0
ENSMUSG00000042641	0	0	0	0
ENSMUSG00000081417	0	0	0	0
ENSMUSG00000103448	0	0	0	0
ENSMUSG00000103192	0	0	0	0
ENSMUSG00000104488	0	0	0	0
ENSMUSG00000100212	1	0	0	0
ENSMUSG00000102721	0	0	0	0
ENSMUSG00000100648	0	0	0	0
ENSMUSG00002076499	0	0	0	0
ENSMUSG00000099949	0	0	0	0
ENSMUSG00000099918	0	0	0	0
ENSMUSG00000026107	6	2	3	0
ENSMUSG00000103424	0	0	0	0
ENSMUSG00000104029	0	0	0	0
ENSMUSG00000101986	0	0	0	0
ENSMUSG00000087008	0	0	0	0
ENSMUSG00000066797	0	0	0	0
ENSMUSG00000048960	0	0	0	0
ENSMUSG00002076439	0	0	0	0
ENSMUSG00000100031	0	0	0	0
ENSMUSG00000077318	0	0	0	0
ENSMUSG00000101827	0	0	0	0
ENSMUSG00000103494	0	0	0	0
ENSMUSG00000067158	0	0	0	0
ENSMUSG00000101880	0	0	0	0
ENSMUSG00000101433	0	0	0	0
ENSMUSG00000056708	429	392	131	128
ENSMUSG00000026471	0	0	0	0
ENSMUSG00000057715	0	0	0	0
ENSMUSG00000026470	21	11	28	25
ENSMUSG00000103825	0	0	0	0
ENSMUSG00000099845	0	0	0	0
ENSMUSG00000103561	0	0	0	0
ENSMUSG00000101610	0	1	0	1
ENSMUSG00000104181	0	0	0	0
ENSMUSG00000118923	0	0	0	0
ENSMUSG00000098555	0	0	0	0
ENSMUSG00000097628	0	0	0	0
ENSMUSG00000098163	0	0	0	0
ENSMUSG00000033722	0	0	1	0
ENSMUSG00000103670	0	0	0	0
ENSMUSG00000026469	14	15	21	17
ENSMUSG00002076398	0	0	0	0
ENSMUSG00000018417	0	0	0	0
ENSMUSG00000101724	0	0	0	0
ENSMUSG00000100313	0	0	0	0
ENSMUSG00000100696	0	0	0	0
ENSMUSG00002075355	0	0	0	0
ENSMUSG00000072324	0	0	0	0
ENSMUSG00000026490	19	3	24	31
ENSMUSG00000033701	6	4	1	0
ENSMUSG00000102194	0	0	0	0
ENSMUSG00000103636	0	0	0	0
ENSMUSG00000026468	2	3	0	2
ENSMUSG00000103180	0	0	0	0
ENSMUSG00000062939	0	0	0	0
ENSMUSG00000101628	0	0	0	0
ENSMUSG00000078291	0	0	0	0
ENSMUSG00000033684	0	0	0	0
ENSMUSG00000102299	0	0	0	0
ENSMUSG00000102558	0	0	0	0
ENSMUSG00000016918	10	11	3	16
ENSMUSG00000033671	5	0	16	10
ENSMUSG00000103717	0	0	0	0
ENSMUSG00000103771	0	0	0	0
ENSMUSG00000026489	0	0	0	0
ENSMUSG00000025938	0	0	0	0
ENSMUSG00000104518	0	0	0	0
ENSMUSG00000069620	0	0	0	0
ENSMUSG00000042414	0	0	0	0
ENSMUSG00000010609	0	0	0	0
ENSMUSG00000026163	0	0	0	0
ENSMUSG00000104219	0	0	0	0
ENSMUSG00000038855	5	0	1	0
ENSMUSG00002076780	0	0	0	0
ENSMUSG00000104388	0	0	0	0
ENSMUSG00000077736	0	0	0	0
ENSMUSG00000103123	0	0	0	0
ENSMUSG00000103772	0	0	0	0
ENSMUSG00000053963	0	0	0	0
ENSMUSG00000104210	0	0	0	0
ENSMUSG00000045658	21	24	37	25
ENSMUSG00000102750	0	0	0	0
ENSMUSG00000101934	0	0	0	0
ENSMUSG00000098851	0	0	0	0
ENSMUSG00000015484	0	0	0	0
ENSMUSG00000048402	0	0	0	2
ENSMUSG00000098273	0	0	0	0
ENSMUSG00000097408	0	0	0	0
ENSMUSG00000096939	0	0	0	0
ENSMUSG00000100767	0	0	0	0
ENSMUSG00000037035	0	0	0	0
ENSMUSG00000036766	0	0	0	0
ENSMUSG00000104396	0	0	0	0
ENSMUSG00000102481	0	0	0	0
ENSMUSG00000005886	8	5	12	14
ENSMUSG00000093254	0	0	0	0
ENSMUSG00000004451	22	11	11	14
ENSMUSG00000101437	0	0	0	0
ENSMUSG00000103506	0	0	0	0
ENSMUSG00000103495	0	0	0	0
ENSMUSG00002076346	0	0	0	0
ENSMUSG00000102639	0	0	0	0
ENSMUSG00000098923	13	21	15	16
ENSMUSG00000104170	0	0	0	0
ENSMUSG00000087782	0	0	0	0
ENSMUSG00000101731	0	0	0	0
ENSMUSG00000103085	0	0	0	0
ENSMUSG00000084505	0	0	0	0
ENSMUSG00000102664	0	0	0	0
ENSMUSG00000101171	0	0	0	2
ENSMUSG00000026496	13	8	28	29
ENSMUSG00000025935	0	0	0	0
ENSMUSG00000025937	0	0	0	0
ENSMUSG00000102982	0	0	0	0
ENSMUSG00000067813	0	0	0	0
ENSMUSG00000077368	0	0	0	0
ENSMUSG00000097711	0	0	0	0
ENSMUSG00000102166	0	0	0	0
ENSMUSG00002075174	0	0	0	0
ENSMUSG00000104209	0	0	0	0
ENSMUSG00000026219	113	97	328	315
ENSMUSG00000103505	0	0	0	0
ENSMUSG00000104503	0	0	0	0
ENSMUSG00000073633	0	0	0	0
ENSMUSG00000026220	0	0	1	0
ENSMUSG00000118590	0	0	0	0
ENSMUSG00000099693	0	0	0	0
ENSMUSG00000026104	0	0	0	0
ENSMUSG00000026383	4	1	0	3
ENSMUSG00000099569	0	0	0	0
ENSMUSG00000102687	0	0	0	0
ENSMUSG00000060743	6	9	12	3
ENSMUSG00000084558	0	0	0	0
ENSMUSG00000038806	5	5	5	3
ENSMUSG00000052477	0	0	0	0
ENSMUSG00000103979	1	3	1	1
ENSMUSG00000064281	3	0	0	0
ENSMUSG00002076475	0	0	0	0
ENSMUSG00000118640	0	0	0	0
ENSMUSG00000101279	0	0	0	0
ENSMUSG00000066652	0	0	0	0
ENSMUSG00000025932	15	11	22	28
ENSMUSG00002075819	0	0	0	0
ENSMUSG00000102588	0	0	0	0
ENSMUSG00000089844	0	0	0	0
ENSMUSG00000073631	0	0	0	0
ENSMUSG00000026520	21	18	20	14
ENSMUSG00000025930	0	0	0	0
ENSMUSG00000103492	0	0	0	0
ENSMUSG00000081201	18	33	27	38
ENSMUSG00000038793	0	0	0	0
ENSMUSG00000082193	17	16	29	47
ENSMUSG00000090128	0	0	0	0
ENSMUSG00000026384	0	1	13	16
ENSMUSG00000091876	0	0	0	0
