id	WR260141T	WR260142T	WR260145T	WR260146T
ENSMUSG00000104478	0.0	0.0	0.0	0.0
ENSMUSG00000104385	0.0	0.0	0.0	0.0
ENSMUSG00000101231	0.0	0.0	0.0	0.0
ENSMUSG00000101097	0.0	0.0	0.0	0.0
ENSMUSG00000100764	0.0	0.0	0.0	0.0
ENSMUSG00000100831	0.0	0.0	0.0	0.0
ENSMUSG00000100884	0.0	0.0	0.0	0.0
ENSMUSG00000100635	0.0	0.0	0.0	0.0
ENSMUSG00000100480	0.0	0.0	0.0	0.0
ENSMUSG00000089037	0.0	0.0	0.0	0.0
ENSMUSG00002076531	0.0	0.0	0.0	0.0
ENSMUSG00000100025	0.0	0.0	0.0	0.0
ENSMUSG00000026312	0.0	0.0	0.0	0.0
ENSMUSG00000100290	0.0	0.0	0.0	0.0
ENSMUSG00000100758	0.0	0.0	0.0	0.0
ENSMUSG00000099926	0.0	0.0	0.0	0.0
ENSMUSG00000039748	0.12429863306135717	0.15095745397696622	0.5447465823468975	0.6937788476644375
ENSMUSG00000118715	0.0	0.0	0.0	0.0
ENSMUSG00000104158	0.0	0.0	0.0	0.0
ENSMUSG00000103540	0.0	0.0	0.0	0.0
ENSMUSG00000057363	10.269208236636748	10.975083736577677	18.227207820216364	16.278335778188048
ENSMUSG00000047216	0.0	0.0	0.0	0.0
ENSMUSG00000102788	0.0	0.0	0.0	0.0
ENSMUSG00000102160	0.0	0.0	0.0	0.0
ENSMUSG00000101253	0.0	0.0	0.0	0.0
ENSMUSG00000101846	0.0	0.0	0.0	0.0
ENSMUSG00000090243	0.0	1.9880589169570126	0.0	0.0
ENSMUSG00000100701	9.604065024245415	13.996664338282674	8.418083883533157	4.288444370664141
ENSMUSG00000100555	0.5295109193944108	3.858463360831592	4.6412298599145885	3.5465890470591157
ENSMUSG00000101395	1.2828959407386644	0.0	2.811186100812237	0.0
ENSMUSG00000102728	0.0	0.0	0.0	0.0
ENSMUSG00000088848	0.0	0.0	0.0	0.0
ENSMUSG00002075225	0.0	0.0	0.0	0.0
ENSMUSG00000038702	1.0898938965567415	0.6618238820374854	3.1843523973802332	1.4194356475866476
ENSMUSG00000101875	0.0	0.0	0.0	0.0
ENSMUSG00000099732	0.0	0.0	0.0	0.0
ENSMUSG00000101220	0.0	0.0	0.0	0.0
ENSMUSG00000100020	0.0	0.0	0.0	0.0
ENSMUSG00000088691	0.0	0.0	0.0	0.0
ENSMUSG00000099884	0.0	0.0	0.0	0.0
ENSMUSG00000100304	0.0	0.0	0.0	0.0
ENSMUSG00000101453	0.0	0.0	0.0	0.0
ENSMUSG00000102105	0.0	0.0	0.0	0.0
ENSMUSG00000099943	0.0	0.0	0.0	0.0
ENSMUSG00002075119	0.0	0.0	0.0	0.0
ENSMUSG00000101687	0.0	0.0	0.0	0.0
ENSMUSG00000055214	0.0	0.0	0.0	0.0
ENSMUSG00000078184	130.65978747110557	114.9738452650786	103.72394276898245	111.79442425169302
ENSMUSG00000104363	0.0	0.0	0.0	0.0
ENSMUSG00000103277	0.0	0.0	0.0	0.0
ENSMUSG00000104157	0.0	0.0	0.0	0.0
ENSMUSG00000102446	0.0	0.0	0.0	0.0
ENSMUSG00000104248	0.0	0.0	0.0	0.0
ENSMUSG00000103471	0.0	0.0	0.0	0.0
ENSMUSG00000087875	0.0	0.0	0.0	0.0
ENSMUSG00000070695	0.0	0.0	0.0	0.0
ENSMUSG00002076179	0.0	0.0	0.0	0.0
ENSMUSG00000102033	0.0	0.0	0.0	0.0
ENSMUSG00000094429	0.0	0.0	0.0	0.0
ENSMUSG00000065625	0.0	0.0	0.0	0.0
ENSMUSG00000103411	0.0	0.0	0.0	0.0
ENSMUSG00000061024	2.555769256940308	3.7246982736152625	2.2401639240847513	4.564848011742104
ENSMUSG00000102030	0.0	0.0	0.0	0.0
ENSMUSG00000025911	0.2769426157785053	0.6726791943883649	1.2137184435252832	0.0
ENSMUSG00000081441	7.599586843141561	6.92212528526684	4.163208454197433	6.362619370268486
ENSMUSG00000067879	0.0	0.0	0.0	0.0
ENSMUSG00000099827	0.0	0.0	0.0	0.0
ENSMUSG00000057335	1.5080015667744198	1.5496703918592836	3.558644802003324	3.2373014876336046
ENSMUSG00000103634	0.0	0.0	0.0	0.0
ENSMUSG00000104154	0.0	0.0	0.0	0.0
ENSMUSG00000065573	0.0	0.0	0.0	0.0
ENSMUSG00002076271	0.0	0.0	0.0	0.0
ENSMUSG00000025912	6.201217846088117	10.355424251265536	19.74595435194734	17.306199052291426
ENSMUSG00000045210	5.5837358249485085	5.738024597941986	10.117847769545572	12.106750455595838
ENSMUSG00000041763	5.089830451924465	5.676857063180237	14.567511701609275	18.784816108649387
ENSMUSG00000026504	0.0	0.0	0.0	0.28302278784354046
ENSMUSG00000103367	0.0	0.0	0.0	0.0
ENSMUSG00000103584	0.0	0.0	0.0	0.0
ENSMUSG00002076339	0.0	0.0	0.0	0.0
ENSMUSG00000102475	0.0	0.0	0.0	0.0
ENSMUSG00000047343	0.0	0.0	0.0	0.0
ENSMUSG00000102211	0.0	0.0	0.0	0.0
ENSMUSG00000090106	0.0	0.0	0.0	0.0
ENSMUSG00000103251	0.0	0.0	0.0	0.0
ENSMUSG00000091844	0.0	0.0	0.0	0.0
ENSMUSG00000026483	0.4255459705864838	0.8613575050094916	0.9324909992938153	0.6333881252064925
ENSMUSG00000098611	0.0	0.0	0.0	0.0
ENSMUSG00000100534	0.0	0.0	0.0	0.0
ENSMUSG00000102904	0.0	0.0	0.0	0.0
ENSMUSG00002076350	0.0	0.0	0.0	0.0
ENSMUSG00000019699	10.62370034297873	6.9473424994208175	12.535124908539812	16.420624229592203
ENSMUSG00000104391	0.0	0.0	0.0	0.0
ENSMUSG00000102133	0.0	0.0	0.0	0.0
ENSMUSG00000102749	0.0	0.0	0.0	0.0
ENSMUSG00000103163	0.0	0.0	0.0	0.0
ENSMUSG00000103646	0.0	0.0	0.0	0.0
ENSMUSG00000102427	0.0	0.0	0.0	0.0
ENSMUSG00000063659	2.55826756510936	3.935469187110815	7.4745124088067305	2.0942671881827573
ENSMUSG00000026049	3.2611934194478196	3.300528757513005	5.9551605873904085	7.28100368228024
ENSMUSG00000103767	0.0	0.0	0.0	0.0
ENSMUSG00000043019	0.8202813725456434	1.394694521510432	5.212655374519729	2.19765132300137
ENSMUSG00000101104	0.0	0.0	0.0	0.0
ENSMUSG00000015962	0.0	0.0	0.0	0.0
ENSMUSG00000032666	1.1544757498605152	1.9413425681279413	2.5297813163739575	2.775774562959569
ENSMUSG00000084557	0.0	0.0	0.0	0.0
ENSMUSG00000100685	0.0	0.0	0.0	0.0
ENSMUSG00000102090	0.0	0.0	0.0	0.0
ENSMUSG00000103744	0.0	0.0	0.0	0.0
ENSMUSG00000015961	16.865933656570462	15.43257608842872	40.50192643147712	27.85453935745877
ENSMUSG00000089657	0.0	0.0	0.0	0.0
ENSMUSG00000102483	0.0	0.0	0.0	0.0
ENSMUSG00000014980	1.9963634567680575	0.9091992925344526	1.0936485617462623	1.9499899015594397
ENSMUSG00000026235	2.4695826502622613	2.2099691437194107	4.129867636554556	3.337202022987026
ENSMUSG00000099141	0.0	0.0	0.0	0.0
ENSMUSG00000032649	0.0	0.0	0.0	0.0
ENSMUSG00000101849	0.0	0.0	0.0	0.0
ENSMUSG00000101506	0.0	0.0	0.0	0.0
ENSMUSG00000065215	0.0	0.0	0.0	0.0
ENSMUSG00000026047	1.6362036380786966	1.5897013784232692	2.86830616850614	2.1918119868821107
ENSMUSG00000080878	0.0	0.0	0.0	0.0
ENSMUSG00000091476	0.0	0.0	0.0	0.0
ENSMUSG00000104097	0.0	0.0	0.0	0.0
ENSMUSG00000119789	0.0	0.0	0.0	0.0
ENSMUSG00000102493	0.0	0.0	0.0	0.0
ENSMUSG00000041684	0.9955711722708037	0.6045476354702851	1.908879577726997	2.5005729479443195
ENSMUSG00000026048	0.17852030826104198	0.4336165338997304	0.0	0.0
ENSMUSG00000046828	0.0	0.0	0.0	0.0
ENSMUSG00000089703	0.0	0.0	0.0	0.0
ENSMUSG00000100966	0.0	0.0	0.0	0.0
ENSMUSG00000101567	731.7738088376506	711.799081518329	586.4734653811005	574.8458441194458
ENSMUSG00000026245	1.5982337215919848	2.9115198718946784	3.9399524283139447	2.230154753828203
ENSMUSG00000104018	0.0	0.0	0.0	0.0
ENSMUSG00000090486	0.0	0.0	0.0	0.0
ENSMUSG00000026482	0.30312526064651807	0.3681377377715389	0.49817457469149823	1.691908340822323
ENSMUSG00000086145	0.0	0.0	0.0	0.0
ENSMUSG00000080950	0.0	0.0	0.0	0.0
ENSMUSG00000099868	0.0	0.0	0.0	0.0
ENSMUSG00000055547	0.0	0.0	0.0	0.0
ENSMUSG00000012187	0.0	0.0	0.0	0.0
ENSMUSG00000008475	27.596917951917842	22.902421253582773	35.27569202073703	41.589054644764616
ENSMUSG00000100562	0.0	0.0	0.0	0.0
ENSMUSG00000056870	0.0	1.0149257669457235	0.6104118835185699	0.31096356865513003
ENSMUSG00000102319	0.0	0.0	0.0	0.0
ENSMUSG00000089877	0.0	0.0	0.0	0.0
ENSMUSG00000101701	0.0	0.0	0.0	0.0
ENSMUSG00000103071	0.0	0.0	0.0	0.0
ENSMUSG00000100434	0.0	0.0	0.0	0.0
ENSMUSG00000100013	0.0	0.0	0.0	0.0
ENSMUSG00000101251	0.0	0.0	0.0	0.0
ENSMUSG00000101937	0.0	0.0	0.0	0.0
ENSMUSG00002075531	0.0	0.0	0.0	0.0
ENSMUSG00000064954	0.0	0.0	0.0	0.0
ENSMUSG00000026495	0.0	0.0	0.0	0.0
ENSMUSG00000032883	4.805338937997476	3.209777473338101	5.2649250820812155	4.559609489809877
ENSMUSG00000026480	0.0	0.0	0.0	0.0
ENSMUSG00000026494	0.21369959600763816	0.08651086536431747	1.092643917245475	1.0337380364097524
ENSMUSG00000064967	0.0	0.0	0.0	0.0
ENSMUSG00000102922	0.0	0.0	0.0	0.0
ENSMUSG00000025915	0.07314954144663197	0.0	0.6411649383726603	0.3266301700806313
ENSMUSG00000079470	0.13632544441239094	0.0	0.0	0.6087256627196138
ENSMUSG00000099377	2.4288702729530165	3.687249644414181	13.305846045607804	6.778428602122846
ENSMUSG00000099706	0.0	0.0	0.0	0.0
ENSMUSG00000047330	0.0	0.0	0.0	0.0
ENSMUSG00000101324	0.0	0.0	0.0	0.0
ENSMUSG00000072978	14.178461683648987	14.34947717148995	18.123583530292887	13.1896285666589
ENSMUSG00000046334	0.0	0.0	0.0	0.0
ENSMUSG00002075801	0.0	0.0	0.0	0.0
ENSMUSG00000050711	0.0	0.0	0.0	0.0
ENSMUSG00000099562	0.0	0.0	0.0	0.0
ENSMUSG00000077782	0.0	0.0	0.0	0.0
ENSMUSG00000055067	0.1139855278356653	0.5537298246489589	0.6244359370271084	0.38172945045927
ENSMUSG00000054702	0.0	0.44175249388256066	0.0	1.2181387328067879
ENSMUSG00000096474	0.0	0.0	0.0	0.0
ENSMUSG00000102235	0.0	0.0	0.0	0.0
ENSMUSG00000026492	0.0	0.0	0.0	0.0
ENSMUSG00000082395	0.0	0.0	0.0	0.0
ENSMUSG00000038949	0.0	0.0	0.0	0.7914670443657152
ENSMUSG00000026043	48.84414569482269	43.907119665502165	95.93086652576136	79.04962555297166
ENSMUSG00000046101	0.0	0.0	0.0	0.0
ENSMUSG00002074901	0.0	0.0	0.0	0.0
ENSMUSG00000093178	0.0	0.0	0.0	0.0
ENSMUSG00000099032	0.0	0.0	0.0	0.0
ENSMUSG00000104025	0.0	0.0	0.0	0.0
ENSMUSG00000038936	1.5227815345239688	0.6725012839957734	3.1851682771435135	2.0089677576140863
ENSMUSG00000042772	7.264011332010883	9.423449430297817	15.013090382890017	16.954944073892136
ENSMUSG00000100394	0.0	0.0	0.0	0.0
ENSMUSG00000103840	0.0	0.0	0.0	0.0
ENSMUSG00000087236	0.0	0.0	0.0	0.0
ENSMUSG00000100702	0.0	0.0	0.0	0.0
ENSMUSG00000026042	27.94201130607278	33.66972933563533	47.4762464670173	45.93500274311896
ENSMUSG00000104476	0.0	0.0	0.0	0.0
ENSMUSG00000073643	0.0	0.39191235431381305	1.0606941391474038	0.18011730749167365
ENSMUSG00000104497	0.0	0.0	0.0	0.0
ENSMUSG00000025916	0.0	0.0	0.0	0.0
ENSMUSG00000087199	0.0	0.0	0.0	0.0
ENSMUSG00000026248	0.6367658683958334	0.7733355701910034	1.3953332471184827	0.0
ENSMUSG00000119658	0.0	0.0	0.0	0.0
ENSMUSG00000026249	0.0	0.0	0.13840520443241133	0.0
ENSMUSG00000042751	0.0	0.0	0.19840234027527984	0.0
ENSMUSG00000067106	16.44871293714759	17.122743129885652	30.894651289734483	11.804051424302815
ENSMUSG00000099969	0.0	0.0	0.0	0.0
ENSMUSG00000100397	0.0	0.0	0.0	0.0
ENSMUSG00000099753	0.0	0.0	0.0	0.0
ENSMUSG00000118883	0.0	0.0	0.0	0.0
ENSMUSG00000102518	0.0	0.0	0.0	0.0
ENSMUSG00000043230	0.0	0.0	0.0	0.0
ENSMUSG00000103404	0.0	0.0	0.0	0.0
ENSMUSG00000026491	0.1385079502041215	0.33642859946917425	1.138162141900694	0.7730888403056222
ENSMUSG00000025917	8.61713640916762	8.777338187000597	13.095976885993066	10.239998938714098
ENSMUSG00000104418	29.584695955121198	5.527668162582651	9.97359938375124	10.161748617443292
ENSMUSG00000026479	7.813233643309492	8.540071971548267	2.1401242613472933	4.215627769520261
ENSMUSG00000004364	24.704895357873234	22.176464719575378	66.13931132483508	66.42776569026391
ENSMUSG00000103076	0.0	0.0	0.0	0.0
ENSMUSG00000103525	0.0	0.0	0.0	0.0
ENSMUSG00000090637	0.0	0.0	0.0	0.0
ENSMUSG00000026478	6.454182479422178	5.840403740446369	7.626089954331069	12.855742176202133
ENSMUSG00000110100	0.0	0.0	0.0	0.0
