id	WR260145T	WR260146T	WR260141T	WR260142T
ENSMUSG00000000787(Ddx3x)	1367	1290	522	361
ENSMUSG00000001025(S100a6)	2344	1970	4184	3168
ENSMUSG00000003545(Fosb)	2	0	235	183
ENSMUSG00000005413(Hmox1)	18	21	147	94
ENSMUSG00000007872(Id3)	625	603	1172	928
ENSMUSG00000007892(Rplp1)	3	2	75	105
ENSMUSG00000008348(Ubc)	1002	956	3643	2145
ENSMUSG00000008682(Rpl10)	4422	3858	7275	5952
ENSMUSG00000012405(Rpl15)	1258	1204	2097	1782
ENSMUSG00000015312(Gadd45b)	111	93	361	295
ENSMUSG00000020372(Rack1)	5066	4550	8156	6855
ENSMUSG00000020423(Btg2)	36	49	190	155
ENSMUSG00000024608(Rps14)	2001	2195	4591	3361
ENSMUSG00000025508(Rplp2)	2777	2338	4914	3758
ENSMUSG00000027447(Cst3)	572	591	1137	884
ENSMUSG00000028649(Macf1)	317	256	49	37
ENSMUSG00000029718(Pcolce)	520	463	981	766
ENSMUSG00000030432(Rpl28)	677	560	1245	893
ENSMUSG00000030551(Nr2f2)	332	307	45	43
ENSMUSG00000030744(Rps3)	5350	5216	9072	7714
ENSMUSG00000037563(Rps16)	1542	1334	2703	2206
ENSMUSG00000037805(Rpl10a)	124	185	2370	2323
ENSMUSG00000038274(Fau)	5825	4491	9122	7643
ENSMUSG00000038900(Rpl12)	1958	1854	3234	2687
ENSMUSG00000040952(Rps19)	2210	2128	4740	3282
ENSMUSG00000041801(Phlda3)	459	415	920	704
ENSMUSG00000041841(Rpl37)	2116	1290	6098	4533
ENSMUSG00000042406(Atf4)	544	476	1614	1157
ENSMUSG00000045128(Rpl18a)	4013	3452	6545	5058
ENSMUSG00000049517(Rps23)	621	649	1339	1101
ENSMUSG00000052837(Junb)	294	200	1105	789
ENSMUSG00000053560(Ier2)	29	37	258	161
ENSMUSG00000054364(Rhob)	301	292	813	612
ENSMUSG00000056708(Ier5)	131	128	429	392
ENSMUSG00000060419(Rps16-ps2)	3683	3311	6288	4675
ENSMUSG00000060438(Rps10-ps1)	749	630	1383	993
ENSMUSG00000061451(Tmem151a)	37	35	160	140
ENSMUSG00000061848(Gm5805)	1131	971	2344	1668
ENSMUSG00000074800(Gm4149)	1376	1210	2436	2064
ENSMUSG00000075706(Gpx4)	1019	982	1767	1400
ENSMUSG00000080021(Gm5915)	1125	1056	1945	1503
ENSMUSG00000081051(Gm15427)	1491	1389	2494	1911
ENSMUSG00000081382(Rpl18-ps1)	1447	1258	2409	1937
ENSMUSG00000082481(Rps12-ps19)	1928	1858	3456	2716
ENSMUSG00000090733(Rps27)	4668	4426	9404	7272
ENSMUSG00000095427(Rps2-ps6)	3145	2841	5169	3977
ENSMUSG00000096942(Rps19-ps6)	6964	6300	13099	10646
ENSMUSG00000098222(Gm8318)	490	470	946	757
ENSMUSG00000105388(Rpl36a-ps2)	3150	2962	4908	4645
ENSMUSG00000113340(Gm7695)	983	866	1942	1527
