ID	KO	Pathway_id	Pathway_name
ENSMUSG00000058006(Mdn1)	K14572	mmu03008	Ribosome biogenesis in eukaryotes
ENSMUSG00000079042(Apela)	K25355	mmu04080	Neuroactive ligand-receptor interaction
ENSMUSG00000079042(Apela)	K25355	mmu04371	Apelin signaling pathway
ENSMUSG00000094891(Or10h1b)	K04257	mmu04740	Olfactory transduction
ENSMUSG00000093884(Or10h1)	K04257	mmu04740	Olfactory transduction
ENSMUSG00000035692(Isg15)	K12159	mmu04622	RIG-I-like receptor signaling pathway
ENSMUSG00000035692(Isg15)	K12159	mmu05165	Human papillomavirus infection
ENSMUSG00000035692(Isg15)	K12159	mmu05169	Epstein-Barr virus infection
ENSMUSG00000035692(Isg15)	K12159	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000120951(Gm46878)	K12159	mmu04622	RIG-I-like receptor signaling pathway
ENSMUSG00000120951(Gm46878)	K12159	mmu05165	Human papillomavirus infection
ENSMUSG00000120951(Gm46878)	K12159	mmu05169	Epstein-Barr virus infection
ENSMUSG00000120951(Gm46878)	K12159	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000074444(Defa30)	K05230	mmu04621	NOD-like receptor signaling pathway
ENSMUSG00000074444(Defa30)	K05230	mmu05150	Staphylococcus aureus infection
ENSMUSG00000074444(Defa30)	K05230	mmu05202	Transcriptional misregulation in cancer
ENSMUSG00000074677(Sirpb1c)	K06551	mmu04148	Efferocytosis
ENSMUSG00000074677(Sirpb1c)	K06551	mmu04380	Osteoclast differentiation
ENSMUSG00000095137(Rps12-ps17)	K02951	mmu03010	Ribosome
ENSMUSG00000095137(Rps12-ps17)	K02951	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000096135(Rps12-ps18)	K02951	mmu03010	Ribosome
ENSMUSG00000096135(Rps12-ps18)	K02951	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000096831(Rps12-ps6)	K02951	mmu03010	Ribosome
ENSMUSG00000096831(Rps12-ps6)	K02951	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000067441(H2ab1)	K11251	mmu03082	ATP-dependent chromatin remodeling
ENSMUSG00000067441(H2ab1)	K11251	mmu04217	Necroptosis
ENSMUSG00000067441(H2ab1)	K11251	mmu04613	Neutrophil extracellular trap formation
ENSMUSG00000067441(H2ab1)	K11251	mmu05034	Alcoholism
ENSMUSG00000067441(H2ab1)	K11251	mmu05322	Systemic lupus erythematosus
ENSMUSG00000082151(Gm11810)	K02917	mmu03010	Ribosome
ENSMUSG00000082151(Gm11810)	K02917	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000068324(Gm10029)	K02917	mmu03010	Ribosome
ENSMUSG00000068324(Gm10029)	K02917	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000081541(Gm13940)	K02917	mmu03010	Ribosome
ENSMUSG00000081541(Gm13940)	K02917	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000105038(Gm43044)	K02917	mmu03010	Ribosome
ENSMUSG00000105038(Gm43044)	K02917	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000079427(Mthfsl)	K01934	mmu00670	One carbon pool by folate
ENSMUSG00000079427(Mthfsl)	K01934	mmu01100	Metabolic pathways
ENSMUSG00000061724(Gm2423)	K16197	mmu04110	Cell cycle
ENSMUSG00000061724(Gm2423)	K16197	mmu04114	Oocyte meiosis
ENSMUSG00000061724(Gm2423)	K16197	mmu04151	PI3K-Akt signaling pathway
ENSMUSG00000061724(Gm2423)	K16197	mmu04390	Hippo signaling pathway
ENSMUSG00000061724(Gm2423)	K16197	mmu05160	Hepatitis C
ENSMUSG00000061724(Gm2423)	K16197	mmu05161	Hepatitis B
ENSMUSG00000061724(Gm2423)	K16197	mmu05203	Viral carcinogenesis
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu04110	Cell cycle
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu04114	Oocyte meiosis
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu04151	PI3K-Akt signaling pathway
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu04390	Hippo signaling pathway
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu05160	Hepatitis C
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu05161	Hepatitis B
ENSMUSG00000080902(Ywhaq-ps3)	K16197	mmu05203	Viral carcinogenesis
ENSMUSG00000103257(Gm7977)	K16197	mmu04110	Cell cycle
ENSMUSG00000103257(Gm7977)	K16197	mmu04114	Oocyte meiosis
ENSMUSG00000103257(Gm7977)	K16197	mmu04151	PI3K-Akt signaling pathway
ENSMUSG00000103257(Gm7977)	K16197	mmu04390	Hippo signaling pathway
ENSMUSG00000103257(Gm7977)	K16197	mmu05160	Hepatitis C
ENSMUSG00000103257(Gm7977)	K16197	mmu05161	Hepatitis B
ENSMUSG00000103257(Gm7977)	K16197	mmu05203	Viral carcinogenesis
ENSMUSG00000061974(Cldn24)	K06087	mmu04514	Cell adhesion molecules
ENSMUSG00000061974(Cldn24)	K06087	mmu04530	Tight junction
ENSMUSG00000061974(Cldn24)	K06087	mmu04670	Leukocyte transendothelial migration
ENSMUSG00000061974(Cldn24)	K06087	mmu05160	Hepatitis C
ENSMUSG00000073877(Ccl27al)	K16598	mmu04060	Cytokine-cytokine receptor interaction
ENSMUSG00000073877(Ccl27al)	K16598	mmu04061	Viral protein interaction with cytokine and cytokine receptor
ENSMUSG00000073877(Ccl27al)	K16598	mmu04062	Chemokine signaling pathway
ENSMUSG00000096826(Ccl27b)	K16598	mmu04060	Cytokine-cytokine receptor interaction
ENSMUSG00000096826(Ccl27b)	K16598	mmu04061	Viral protein interaction with cytokine and cytokine receptor
ENSMUSG00000096826(Ccl27b)	K16598	mmu04062	Chemokine signaling pathway
ENSMUSG00000094808(1810009J06Rik)	K01312	mmu04080	Neuroactive ligand-receptor interaction
ENSMUSG00000094808(1810009J06Rik)	K01312	mmu04972	Pancreatic secretion
ENSMUSG00000094808(1810009J06Rik)	K01312	mmu04974	Protein digestion and absorption
ENSMUSG00000094808(1810009J06Rik)	K01312	mmu05164	Influenza A
ENSMUSG00000096525(Gm2663)	K01312	mmu04080	Neuroactive ligand-receptor interaction
ENSMUSG00000096525(Gm2663)	K01312	mmu04972	Pancreatic secretion
ENSMUSG00000096525(Gm2663)	K01312	mmu04974	Protein digestion and absorption
ENSMUSG00000096525(Gm2663)	K01312	mmu05164	Influenza A
ENSMUSG00000071517(Prss3l)	K01312	mmu04080	Neuroactive ligand-receptor interaction
ENSMUSG00000071517(Prss3l)	K01312	mmu04972	Pancreatic secretion
ENSMUSG00000071517(Prss3l)	K01312	mmu04974	Protein digestion and absorption
ENSMUSG00000071517(Prss3l)	K01312	mmu05164	Influenza A
ENSMUSG00000080968(Atf1-ps)	K09053	mmu04925	Aldosterone synthesis and secretion
ENSMUSG00000080968(Atf1-ps)	K09053	mmu05202	Transcriptional misregulation in cancer
ENSMUSG00000083417(Or13d31-ps1)	K04257	mmu04740	Olfactory transduction
ENSMUSG00000111611(Or13c7c)	K04257	mmu04740	Olfactory transduction
ENSMUSG00000030621(Me3)	K02995	mmu03010	Ribosome
ENSMUSG00000030621(Me3)	K02995	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000033847(Pla2g4c)	K02995	mmu03010	Ribosome
ENSMUSG00000033847(Pla2g4c)	K02995	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000044252(Osbpl1a)	K02995	mmu03010	Ribosome
ENSMUSG00000044252(Osbpl1a)	K02995	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000047675(Rps8)	K02995	mmu03010	Ribosome
ENSMUSG00000047675(Rps8)	K02995	mmu05171	Coronavirus disease - COVID-19
ENSMUSG00000060198(Gm11353)	K02995	mmu03010	Ribosome
