ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Classification
GO:0000012	single strand break repair	2/823	29/65628	0.0689655172413793	5.49947626429798	2.7311735047289	0.0510236166576558	0.367112733126203	0.33443371039451	ENSMUSG00000034349(Smc4)/ENSMUSG00000028312(Smc2)	2	biological_process
GO:0000015	phosphopyruvate hydratase complex	2/823	24/65628	0.0833333333333333	6.64520048602673	3.11714329465243	0.0361306733119097	0.324860048087258	0.295942203681102	ENSMUSG00000004267(Eno2)/ENSMUSG00000114737(Gm8483)	2	cellular_component
GO:0000027	ribosomal large subunit assembly	5/823	283/65628	0.0176678445229682	1.40887642813288	0.776812216236261	0.283086888402428	0.496185943795378	0.452017299470907	ENSMUSG00000080859(Rpl10-ps1)/ENSMUSG00000008682(Rpl10)/ENSMUSG00000041560(Nop53)/ENSMUSG00000110679(Rpl10-ps5)/ENSMUSG00000085342(Gm12254)	5	biological_process
GO:0000028	ribosomal small subunit assembly	19/823	465/65628	0.0408602150537634	3.25829185121311	5.50735339062519	9.01684424190453e-06	0.0043244278083003	0.00393948317985989	ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000083482(Gm14706)/ENSMUSG00000047676(Rpsa-ps10)/ENSMUSG00000060438(Rps10-ps1)/ENSMUSG00000090733(Rps27)/ENSMUSG00000083382(Gm6433)/ENSMUSG00000040952(Rps19)/ENSMUSG00000087286(Gm9013)/ENSMUSG00000095427(Rps2-ps6)/ENSMUSG00000081613(Gm12109)/ENSMUSG00000091419(Gm17450)/ENSMUSG00000111920(Gm7370)/ENSMUSG00000096942(Rps19-ps6)/ENSMUSG00000061848(Gm5805)/ENSMUSG00000115938(Gm17241)/ENSMUSG00000116825(Rps2-ps7)/ENSMUSG00000067288(Rps28)/ENSMUSG00000096699(Rps19-ps4)/ENSMUSG00000024608(Rps14)	19	biological_process
GO:0000045	autophagosome assembly	3/823	151/65628	0.0198675496688742	1.58428620858915	0.810040361263049	0.294328492882687	0.499585417933409	0.455114164947869	ENSMUSG00000026280(Atg4b)/ENSMUSG00000030847(Bag3)/ENSMUSG00000037204(Atg101)	3	biological_process
GO:0000049	tRNA binding	4/823	333/65628	0.012012012012012	0.957866736724574	-0.0868648725529284	0.602066627735697	0.693728111411588	0.631974991247706	ENSMUSG00000068882(Ssb)/ENSMUSG00000060438(Rps10-ps1)/ENSMUSG00000093885(Rpl35a-ps5)/ENSMUSG00000095526(Gm10243)	4	molecular_function
GO:0000070	mitotic sister chromatid segregation	2/823	118/65628	0.0169491525423729	1.35156620054781	0.430755920682957	0.436541275412101	0.584428310264527	0.532404655640666	ENSMUSG00000041408(Wapl)/ENSMUSG00000035198(Tubg1)	2	biological_process
GO:0000077	DNA damage checkpoint signaling	1/823	71/65628	0.0140845070422535	1.12313247651156	0.116984733248122	0.591995885670586	0.687651718044478	0.626439496027275	ENSMUSG00000032409(Atr)	1	biological_process
GO:0000082	G1/S transition of mitotic cell cycle	5/823	303/65628	0.0165016501650165	1.31588128436173	0.621072695066524	0.331759039472362	0.521543126718723	0.475117279408927	ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000028693(Nasp)/ENSMUSG00000028680(Plk3)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000050244(Heatr1)	5	biological_process
GO:0000086	G2/M transition of mitotic cell cycle	1/823	118/65628	0.00847457627118644	0.675783100273905	-0.397246233923718	0.774730732771276	0.824170258663889	0.750805659216984	ENSMUSG00000020525(Ppm1d)	1	biological_process
