ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
mmu03010	Ribosome	76/327	1284/11972	0.059190031152648	2.16704297541132	7.41635454563114	3.49951348075084e-11	5.5257262956305e-09	4.73696632201179e-09	ENSMUSG00000099471(Gm8451)/ENSMUSG00000058603(Rpl28-ps1)/ENSMUSG00000094122(Rpl31-ps9)/ENSMUSG00000081382(Rpl18-ps1)/ENSMUSG00000086925(Gm6286)/ENSMUSG00000081051(Gm15427)/ENSMUSG00000070692(Rps12-ps10)/ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000080859(Rpl10-ps1)/ENSMUSG00000082013(Gm13216)/ENSMUSG00000031229(Atrx)/ENSMUSG00000059461(Gm7331)/ENSMUSG00000067147(Rpl7a-ps11)/ENSMUSG00000041245(Wnk3)/ENSMUSG00000047676(Rpsa-ps10)/ENSMUSG00000062896(Rpl31-ps11)/ENSMUSG00000106258(Rpl7a-ps7)/ENSMUSG00000057036(Gm7536)/ENSMUSG00000103880(Gm37009)/ENSMUSG00000060438(Rps10-ps1)/ENSMUSG00000104862(Gm6520)/ENSMUSG00000105388(Rpl36a-ps2)/ENSMUSG00000028936(Rpl22)/ENSMUSG00000079942(Rpl28-ps3)/ENSMUSG00000060419(Rps16-ps2)/ENSMUSG00000093885(Rpl35a-ps5)/ENSMUSG00000107176(Gm9794)/ENSMUSG00000082920(Gm13864)/ENSMUSG00000095526(Gm10243)/ENSMUSG00000069972(Rps13-ps2)/ENSMUSG00000070778(Rpl7a-ps8)/ENSMUSG00000110109(Gm5599)/ENSMUSG00000090862(Rps13)/ENSMUSG00000062758(Gm16477)/ENSMUSG00000045948(Mrps12)/ENSMUSG00000059070(Rpl18)/ENSMUSG00000040952(Rps19)/ENSMUSG00000109509(Rps12-ps4)/ENSMUSG00000030744(Rps3)/ENSMUSG00000030432(Rpl28)/ENSMUSG00000031930(Wwp2)/ENSMUSG00000062458(Gm8623)/ENSMUSG00000110679(Rpl10-ps5)/ENSMUSG00000098181(Rps12-ps24)/ENSMUSG00000045128(Rpl18a)/ENSMUSG00000000740(Rpl13)/ENSMUSG00000042323(Pbrm1)/ENSMUSG00000090305(Gm5459)/ENSMUSG00000095427(Rps2-ps6)/ENSMUSG00000012405(Rpl15)/ENSMUSG00000115584(Gm5854)/ENSMUSG00000007892(Rplp1)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000080848(Gm9385)/ENSMUSG00000034593(Myo5a)/ENSMUSG00000063316(Rpl27)/ENSMUSG00000085342(Gm12254)/ENSMUSG00000062461(Rpl27a-ps4)/ENSMUSG00000060198(Gm11353)/ENSMUSG00000049517(Rps23)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000113113(Gm2614)/ENSMUSG00000112605(Gm7476)/ENSMUSG00000114184(Gm7143)/ENSMUSG00000041841(Rpl37)/ENSMUSG00000115188(Gm46522)/ENSMUSG00000068579(Rpl7a-ps3)/ENSMUSG00000061848(Gm5805)/ENSMUSG00000116667(Gm49641)/ENSMUSG00000116845(Gm46546)/ENSMUSG00000117002(Gm32892)/ENSMUSG00000093686(Gm4705)/ENSMUSG00000024190(Dusp1)/ENSMUSG00000116757(Gm4786)/ENSMUSG00000023939(Mrpl14)/ENSMUSG00000038274(Fau)	76
mmu05171	Coronavirus disease - COVID-19	79/327	1367/11972	0.0577907827359181	2.11581422297985	7.34497224616106	4.18615628456856e-11	5.5257262956305e-09	4.73696632201179e-09	ENSMUSG00000099471(Gm8451)/ENSMUSG00000058603(Rpl28-ps1)/ENSMUSG00000094122(Rpl31-ps9)/ENSMUSG00000081382(Rpl18-ps1)/ENSMUSG00000086925(Gm6286)/ENSMUSG00000081051(Gm15427)/ENSMUSG00000070692(Rps12-ps10)/ENSMUSG00000081406(Rps6-ps4)/ENSMUSG00000080859(Rpl10-ps1)/ENSMUSG00000082013(Gm13216)/ENSMUSG00000031229(Atrx)/ENSMUSG00000059461(Gm7331)/ENSMUSG00000067147(Rpl7a-ps11)/ENSMUSG00000041245(Wnk3)/ENSMUSG00000047676(Rpsa-ps10)/ENSMUSG00000062896(Rpl31-ps11)/ENSMUSG00000106258(Rpl7a-ps7)/ENSMUSG00000057036(Gm7536)/ENSMUSG00000103880(Gm37009)/ENSMUSG00000060438(Rps10-ps1)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000104862(Gm6520)/ENSMUSG00000105388(Rpl36a-ps2)/ENSMUSG00000028936(Rpl22)/ENSMUSG00000079942(Rpl28-ps3)/ENSMUSG00000052684(Jun)/ENSMUSG00000060419(Rps16-ps2)/ENSMUSG00000093885(Rpl35a-ps5)/ENSMUSG00000107176(Gm9794)/ENSMUSG00000082920(Gm13864)/ENSMUSG00000095526(Gm10243)/ENSMUSG00000069972(Rps13-ps2)/ENSMUSG00000070778(Rpl7a-ps8)/ENSMUSG00000110109(Gm5599)/ENSMUSG00000090862(Rps13)/ENSMUSG00000062758(Gm16477)/ENSMUSG00000059070(Rpl18)/ENSMUSG00000003184(Irf3)/ENSMUSG00000040952(Rps19)/ENSMUSG00000109509(Rps12-ps4)/ENSMUSG00000030744(Rps3)/ENSMUSG00000030432(Rpl28)/ENSMUSG00000015755(Tab2)/ENSMUSG00000031930(Wwp2)/ENSMUSG00000062458(Gm8623)/ENSMUSG00000110679(Rpl10-ps5)/ENSMUSG00000098181(Rps12-ps24)/ENSMUSG00000045128(Rpl18a)/ENSMUSG00000000740(Rpl13)/ENSMUSG00000042323(Pbrm1)/ENSMUSG00000090305(Gm5459)/ENSMUSG00000095427(Rps2-ps6)/ENSMUSG00000012405(Rpl15)/ENSMUSG00000115584(Gm5854)/ENSMUSG00000007892(Rplp1)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000080848(Gm9385)/ENSMUSG00000034593(Myo5a)/ENSMUSG00000063316(Rpl27)/ENSMUSG00000085342(Gm12254)/ENSMUSG00000062461(Rpl27a-ps4)/ENSMUSG00000060198(Gm11353)/ENSMUSG00000049517(Rps23)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000021250(Fos)/ENSMUSG00000113113(Gm2614)/ENSMUSG00000112605(Gm7476)/ENSMUSG00000114184(Gm7143)/ENSMUSG00000041841(Rpl37)/ENSMUSG00000115188(Gm46522)/ENSMUSG00000068579(Rpl7a-ps3)/ENSMUSG00000061848(Gm5805)/ENSMUSG00000116667(Gm49641)/ENSMUSG00000116845(Gm46546)/ENSMUSG00000117002(Gm32892)/ENSMUSG00000093686(Gm4705)/ENSMUSG00000024190(Dusp1)/ENSMUSG00000116757(Gm4786)/ENSMUSG00000038274(Fau)	79
mmu05224	Breast cancer	15/327	151/11972	0.0993377483443709	3.63691597302388	5.46420521220072	1.6016941727566e-05	0.0014094908720258	0.00120829560400936	ENSMUSG00000041075(Fzd7)/ENSMUSG00000027208(Fgf7)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000052684(Jun)/ENSMUSG00000030201(Lrp6)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000021250(Fos)/ENSMUSG00000020647(Ncoa1)/ENSMUSG00000022346(Myc)/ENSMUSG00000022528(Hes1)/ENSMUSG00000024241(Sos1)	15
mmu04010	MAPK signaling pathway	20/327	281/11972	0.0711743772241993	2.60580930926029	4.56447304022445	8.9918106589262e-05	0.00593459503489129	0.00508747182018193	ENSMUSG00000039384(Dusp10)/ENSMUSG00000027208(Fgf7)/ENSMUSG00000062232(Rapgef2)/ENSMUSG00000006445(Epha2)/ENSMUSG00000052684(Jun)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000006599(Gtf2h1)/ENSMUSG00000037887(Dusp8)/ENSMUSG00000025408(Ddit3)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000015755(Tab2)/ENSMUSG00000071076(Jund)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000021549(Rasa1)/ENSMUSG00000021250(Fos)/ENSMUSG00000022346(Myc)/ENSMUSG00000042406(Atf4)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)/ENSMUSG00000090877(Hspa1b)	20
mmu05225	Hepatocellular carcinoma	15/327	184/11972	0.0815217391304348	2.98464299960112	4.54611680304849	0.000157514750074918	0.00831677880395565	0.007129615003391	ENSMUSG00000026688(Mgst3)/ENSMUSG00000041075(Fzd7)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000007880(Arid1a)/ENSMUSG00000030201(Lrp6)/ENSMUSG00000008540(Mgst1)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)/ENSMUSG00000024241(Sos1)/ENSMUSG00000024921(Smarca2)	15
mmu05210	Colorectal cancer	9/327	84/11972	0.107142857142857	3.92267365661861	4.50437889777753	0.000460935298682083	0.0186596517850691	0.0159961129736437	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000052684(Jun)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000020516(Rps6kb1)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000021250(Fos)/ENSMUSG00000022346(Myc)/ENSMUSG00000024241(Sos1)	9
mmu05213	Endometrial cancer	7/327	52/11972	0.134615384615385	4.92848741472595	4.75727498391624	0.000494763494301074	0.0186596517850691	0.0159961129736437	ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036390(Gadd45a)/ENSMUSG00000015312(Gadd45b)/ENSMUSG00000021453(Gadd45g)/ENSMUSG00000022346(Myc)/ENSMUSG00000024241(Sos1)/ENSMUSG00000024122(Pdpk1)	7
mmu04120	Ubiquitin mediated proteolysis	18/327	284/11972	0.0633802816901408	2.3204548391265	3.77382681766418	0.000808629003625817	0.026684757119652	0.0228756889183619	ENSMUSG00000026219(Trip12)/ENSMUSG00000062846(Gm14176)/ENSMUSG00000014355(Anapc1)/ENSMUSG00000025860(Xiap)/ENSMUSG00000025261(Huwe1)/ENSMUSG00000059461(Gm7331)/ENSMUSG00000070923(Klhl9)/ENSMUSG00000041556(Fbxo2)/ENSMUSG00000008348(Ubc)/ENSMUSG00000039000(Ube3c)/ENSMUSG00000025326(Ube3a)/ENSMUSG00000038664(Herc1)/ENSMUSG00000061390(Uba52-ps)/ENSMUSG00000020687(Cdc27)/ENSMUSG00000050244(Heatr1)/ENSMUSG00000038037(Socs1)/ENSMUSG00000024073(Birc6)/ENSMUSG00000055839(Elob)	18
mmu04919	Thyroid hormone signaling pathway	11/327	131/11972	0.083969465648855	3.07425823470364	4.00012557697707	0.000915574035638475	0.0268568383787286	0.0230232067441254	ENSMUSG00000039943(Plcb4)/ENSMUSG00000064127(Med14)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000036856(Wnt4)/ENSMUSG00000018076(Med13l)/ENSMUSG00000042557(Sin3a)/ENSMUSG00000018501(Ncor1)/ENSMUSG00000034297(Med13)/ENSMUSG00000020647(Ncoa1)/ENSMUSG00000022346(Myc)/ENSMUSG00000024122(Pdpk1)	11
mmu05206	MicroRNAs in cancer	13/327	175/11972	0.0742857142857143	2.71972040192224	3.84025818511139	0.00102784498322388	0.0271351075571105	0.0232617548834879	ENSMUSG00000067336(Bmpr2)/ENSMUSG00000062846(Gm14176)/ENSMUSG00000026739(Bmi1)/ENSMUSG00000038612(Mcl1)/ENSMUSG00000027665(Pik3ca)/ENSMUSG00000005413(Hmox1)/ENSMUSG00000022114(Spry2)/ENSMUSG00000076431(Sox4)/ENSMUSG00000041415(Dicer1)/ENSMUSG00000022346(Myc)/ENSMUSG00000038037(Socs1)/ENSMUSG00000023951(Vegfa)/ENSMUSG00000024241(Sos1)	13
