id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
GO:0000028	BP	0	823	19	1.3886993519371253	0	19	0.023086269744835967
GO:0000118	CC	0	823	6	1.3391200452721201	6	0	0.007290400972053463
GO:0000146	MF	0	823	5	1.4281347940287887	3	2	0.006075334143377886
GO:0000209	BP	0	823	9	1.605664115596787	8	1	0.010935601458080195
GO:0000281	BP	0	823	7	1.4471580313422194	6	1	0.00850546780072904
GO:0000775	CC	0	823	7	1.4832815634244811	7	0	0.00850546780072904
GO:0000791	CC	0	823	9	1.3679767852945939	5	4	0.010935601458080195
GO:0000792	CC	0	823	6	1.5250448070368454	6	0	0.007290400972053463
GO:0000932	CC	0	823	12	1.3357921019231926	8	4	0.014580801944106925
GO:0001540	MF	0	823	6	1.4771212547196628	1	5	0.007290400972053463
GO:0001570	BP	0	823	5	1.4048337166199378	3	2	0.006075334143377886
GO:0001726	CC	0	823	11	1.4313637641589878	8	3	0.013365735115431349
GO:0001731	BP	0	823	6	1.3324384599156058	0	6	0.007290400972053463
GO:0002052	BP	0	823	4	1.3569814009931307	4	0	0.004860267314702308
GO:0003690	MF	0	823	10	1.5158738437116788	3	7	0.012150668286755772
GO:0003712	MF	0	823	12	1.5691787649333062	9	3	0.014580801944106925
GO:0004722	MF	0	823	4	1.3710678622717363	2	2	0.004860267314702308
GO:0004843	MF	0	823	8	1.5622928644564746	7	1	0.009720534629404616
GO:0005546	MF	0	823	7	1.5458370670891228	3	4	0.00850546780072904
GO:0005547	MF	0	823	5	1.3654879848908994	4	1	0.006075334143377886
GO:0005637	CC	0	823	6	1.3187587626244128	3	3	0.007290400972053463
GO:0005758	CC	0	823	6	1.5250448070368454	0	6	0.007290400972053463
GO:0005770	CC	0	823	11	1.4664631865376059	6	5	0.013365735115431349
GO:0005793	CC	0	823	6	1.5228787452803376	2	4	0.007290400972053463
GO:0005814	CC	0	823	11	1.6213651465233485	7	4	0.013365735115431349
GO:0005819	CC	0	823	11	1.5818566052396752	5	6	0.013365735115431349
GO:0006094	BP	0	823	12	1.5910646070265	4	8	0.014580801944106925
GO:0006541	BP	0	823	3	1.3082085802911043	2	1	0.0036452004860267314
