id	baseMean	log2FoldChange	pvalue	padj	Direction	WR260145T	WR260146T	WR260141T	WR260142T	Uniprot	GO	KEGG	Card	VFDB	PHI	COG	eggNOG	CAZy	NT	Pfam
ENSMUSG00000041763(Tpp2)	88.7669079549842	1.23311488024044	0.000544018247120129	0.00494332013979347	Up	128	162	49	45	sp|Q64560|TPP2_RAT Tripeptidyl-peptidase 2 OS=Rattus norvegicus OX=10116 GN=Tpp2 PE=2 SV=3	GO:0004177 aminopeptidase activity molecular_function|GO:0042802 identical protein binding molecular_function|GO:0042277 peptide binding molecular_function|GO:0004252 serine-type endopeptidase activity molecular_function|GO:0008240 tripeptidyl-peptidase activity molecular_function|GO:0080144 intracellular amino acid homeostasis biological_process|GO:0030163 protein catabolic process biological_process|GO:0006508 proteolysis biological_process|GO:0005829 cytosol cellular_component|GO:0005634 nucleus cellular_component	mcoc:116089421 K01280 tripeptidyl-peptidase II [EC:3.4.14.10] --	--	VFG010082(gb|WP_011781139)	E9EX34|PHI:5434|Mero-bck1|568076|Metarhizium_robertsii|reduced_virulence	WP_013629220_1|COG1404|Serine protease, subtilisin family	10029.XP_007610270.1 COG1404@1|root,KOG1114@2759|Eukaryota,38DD3@33154|Opisthokonta,3BERN@33208|Metazoa,3CUIF@33213|Bilateria,4861C@7711|Chordata,491IE@7742|Vertebrata,3JBJE@40674|Mammalia,35AIJ@314146|Euarchontoglires,4Q1GW@9989|Rodentia tripeptidyl-peptidase activity	--	CAA29034.1 ORF1 [Rattus norvegicus]	PF21223.1|TPPII_Ig-like-1|Tripeptidyl-peptidase II, first Ig-like domain
ENSMUSG00000026479(Lamc2)	41.6514694723023	-1.76023074076161	0.00062349773698009	0.00558458353275249	Down	15	29	60	54	sp|Q61092|LAMC2_MOUSE Laminin subunit gamma-2 OS=Mus musculus OX=10090 GN=Lamc2 PE=1 SV=2	GO:0008201 heparin binding molecular_function|GO:0009887 animal organ morphogenesis biological_process|GO:0030335 positive regulation of cell migration biological_process|GO:0008284 positive regulation of cell population proliferation biological_process|GO:0034446 substrate adhesion-dependent cell spreading biological_process|GO:0009888 tissue development biological_process|GO:0005604 basement membrane cellular_component|GO:0005938 cell cortex cellular_component|GO:0062023 collagen-containing extracellular matrix cellular_component|GO:0005576 extracellular region cellular_component|GO:0005615 extracellular space cellular_component|GO:0005607 laminin-2 complex cellular_component|GO:0005610 laminin-5 complex cellular_component|GO:0048471 perinuclear region of cytoplasm cellular_component	mmu:16782 K06246 laminin, gamma 2 mmu04151 PI3K-Akt signaling pathway|:::|mmu04510 Focal adhesion|:::|mmu04512 ECM-receptor interaction|:::|mmu05145 Toxoplasmosis|:::|mmu05146 Amoebiasis|:::|mmu05165 Human papillomavirus infection|:::|mmu05200 Pathways in cancer|:::|mmu05222 Small cell lung cancer	--	VFG038029(gb|WP_000631584)	G4N4W3|PHI:2046_PHI:2159|Momsb2|318829|Magnaporthe_oryzae|loss_of_pathogenicity_reduced_virulence	--	28737.XP_006892246.1 COG0256@1|root,KOG0875@2759|Eukaryota,38BT6@33154|Opisthokonta,3BDDH@33208|Metazoa,3CXDW@33213|Bilateria,484F8@7711|Chordata,49085@7742|Vertebrata,3J50V@40674|Mammalia,35198@311790|Afrotheria 60S ribosomal protein	--	XP_025209303.1 60S ribosomal protein L5 isoform X3 [Theropithecus gelada]	PF00053.28|Laminin_EGF|Laminin EGF domain
ENSMUSG00000004364(Cul3)	174.906125397463	1.0946948097022	2.28847945575615e-05	0.000334553901389113	Up	281	277	115	85	sp|B5DF89|CUL3_RAT Cullin-3 OS=Rattus norvegicus OX=10116 GN=Cul3 PE=1 SV=2	GO:0030332 cyclin binding molecular_function|GO:0042802 identical protein binding molecular_function|GO:0005112 Notch binding molecular_function|GO:0031208 POZ domain binding molecular_function|GO:0160072 ubiquitin ligase complex scaffold activity molecular_function|GO:0061630 ubiquitin protein ligase activity molecular_function|GO:0031625 ubiquitin protein ligase binding molecular_function|GO:0031145 anaphase-promoting complex-dependent catabolic process biological_process|GO:0016477 cell migration biological_process|GO:0000902 cell morphogenesis biological_process|GO:0030030 cell projection organization biological_process|GO:0071230 cellular response to amino acid stimulus biological_process|GO:0048208 COPII vesicle coating biological_process|GO:0040016 embryonic cleavage biological_process|GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport biological_process|GO:0044346 fibroblast apoptotic process biological_process|GO:0007369 gastrulation biological_process|GO:0010467 gene expression biological_process|GO:0001701 in utero embryonic development biological_process|GO:0006954 inflammatory response biological_process|GO:0007229 integrin-mediated signaling pathway biological_process|GO:0072576 liver morphogenesis biological_process|GO:0000278 mitotic cell cycle biological_process|GO:0007080 mitotic metaphase chromosome alignment biological_process|GO:0035024 negative regulation of Rho protein signal transduction biological_process|GO:0000122 negative regulation of transcription by RNA polymerase II biological_process|GO:0032480 negative regulation of type I interferon production biological_process|GO:0071630 nuclear protein quality control by the ubiquitin-proteasome system biological_process|GO:0032467 positive regulation of cytokinesis biological_process|GO:1901992 positive regulation of mitotic cell cycle phase transition biological_process|GO:0045842 positive regulation of mitotic metaphase/anaphase transition biological_process|GO:0031398 positive regulation of protein ubiquitination biological_process|GO:1904263 positive regulation of TORC1 signaling biological_process|GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process biological_process|GO:0030163 protein catabolic process biological_process|GO:0031648 protein destabilization biological_process|GO:0070936 protein K48-linked ubiquitination biological_process|GO:0006513 protein monoubiquitination biological_process|GO:0000209 protein polyubiquitination biological_process|GO:0016567 protein ubiquitination biological_process|GO:0006357 regulation of transcription by RNA polymerase II biological_process|GO:0140252 regulation protein catabolic process at postsynapse biological_process|GO:0017145 stem cell division biological_process|GO:0043149 stress fiber assembly biological_process|GO:0001831 trophectodermal cellular morphogenesis biological_process|GO:0006511 ubiquitin-dependent protein catabolic process biological_process|GO:0016055 Wnt signaling pathway biological_process|GO:0005813 centrosome cellular_component|GO:0031463 Cul3-RING ubiquitin ligase complex cellular_component|GO:0005737 cytoplasm cellular_component|GO:0098978 glutamatergic synapse cellular_component|GO:0005794 Golgi apparatus cellular_component|GO:0072686 mitotic spindle cellular_component|GO:0005634 nucleus cellular_component|GO:0005886 plasma membrane cellular_component|GO:0005827 polar microtubule cellular_component|GO:0098794 postsynapse cellular_component|GO:0036126 sperm flagellum cellular_component|GO:0000922 spindle pole cellular_component	mcal:110291329 K03869 cullin 3 mcal04120 Ubiquitin mediated proteolysis|:::|mcal04340 Hedgehog signaling pathway	--	VFG002457(gb|WP_011205638)	V6RAN7|PHI:1639|Gzwing011|5518|Fusarium_graminearum|unaffected_pathogenicity	--	61853.ENSNLEP00000011891 COG5647@1|root,KOG2166@2759|Eukaryota,3ANJ6@33154|Opisthokonta,3B9AZ@33208|Metazoa,3CXMI@33213|Bilateria,487WN@7711|Chordata,48Z11@7742|Vertebrata,3J4WA@40674|Mammalia,35GA1@314146|Euarchontoglires,4MGB4@9443|Primates Cullin protein neddylation domain	--	XP_016053192.1 PREDICTED: cullin-3 isoform X1 [Miniopterus natalensis]	PF00888.26|Cullin|Cullin family
ENSMUSG00000067851(Arfgef1)	29.54450390041	2.13720368875451	0.000590991959484091	0.00535882582671439	Up	70	44	14	6	sp|G3X9K3|BIG1_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus OX=10090 GN=Arfgef1 PE=1 SV=1	GO:0005085 guanyl-nucleotide exchange factor activity molecular_function|GO:0017022 myosin binding molecular_function|GO:0034237 protein kinase A regulatory subunit binding molecular_function|GO:0010256 endomembrane system organization biological_process|GO:0007030 Golgi organization biological_process|GO:0030837 negative regulation of actin filament polymerization biological_process|GO:0034260 negative regulation of GTPase activity biological_process|GO:0031175 neuron projection development biological_process|GO:0051897 positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction biological_process|GO:0090303 positive regulation of wound healing biological_process|GO:0006486 protein glycosylation biological_process|GO:0015031 protein transport biological_process|GO:0032012 regulation of ARF protein signal transduction biological_process|GO:2000114 regulation of establishment of cell polarity biological_process|GO:0005829 cytosol cellular_component|GO:0005794 Golgi apparatus cellular_component|GO:0000139 Golgi membrane cellular_component|GO:0016363 nuclear matrix cellular_component|GO:0005730 nucleolus cellular_component|GO:0005654 nucleoplasm cellular_component|GO:0048471 perinuclear region of cytoplasm cellular_component|GO:0030532 small nuclear ribonucleoprotein complex cellular_component|GO:0005802 trans-Golgi network cellular_component	mmu:211673 K18442 brefeldin A-inhibited guanine nucleotide-exchange protein mmu04144 Endocytosis	--	VFG010641(gb|WP_011946858)	Q5WV98|PHI:9873|Ralf|446|Legionella_pneumophila|unaffected_pathogenicity	NP_220757_1|COG5307|Guanine-nucleotide exchange factor YEL1, contains Sec7 domain	10029.XP_007634276.1 COG5307@1|root,KOG0929@2759|Eukaryota,38B79@33154|Opisthokonta,3BEJ9@33208|Metazoa,3CW6V@33213|Bilateria,47Z8H@7711|Chordata,48XBY@7742|Vertebrata,3JB4U@40674|Mammalia,35I05@314146|Euarchontoglires,4PVA3@9989|Rodentia positive regulation of protein glycosylation in Golgi	--	KAB0396173.1 hypothetical protein E2I00_015316, partial [Balaenoptera physalus]	PF16213.9|DCB|Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain
ENSMUSG00000056708(Ier5)	286.937260562905	-2.0653637383443	3.86083543696497e-20	2.07423383850943e-17	Down	131	128	429	392	sp|Q8JZP2|SYN3_MOUSE Synapsin-3 OS=Mus musculus OX=10090 GN=Syn3 PE=1 SV=2	GO:0005524 ATP binding molecular_function|GO:0007269 neurotransmitter secretion biological_process|GO:0097091 synaptic vesicle clustering biological_process|GO:0099504 synaptic vesicle cycle biological_process|GO:0098850 extrinsic component of synaptic vesicle membrane cellular_component|GO:0098978 glutamatergic synapse cellular_component|GO:0014069 postsynaptic density cellular_component|GO:0045202 synapse cellular_component|GO:0008021 synaptic vesicle cellular_component|GO:0030672 synaptic vesicle membrane cellular_component	mmu:15939 -- -- --	--	--	G4NHH2|PHI:11101|Upl3_(mgg_03841)|318829|Magnaporthe_oryzae|reduced_virulence	--	--	--	--	--
ENSMUSG00000026219(Trip12)	196.290489040591	1.21926209789022	9.13417088345853e-07	2.02364260088169e-05	Up	328	315	113	97	sp|G5E870|TRIPC_MOUSE E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1	GO:0046966 nuclear thyroid hormone receptor binding molecular_function|GO:0061630 ubiquitin protein ligase activity molecular_function|GO:0008270 zinc ion binding molecular_function|GO:0006974 DNA damage response biological_process|GO:0006281 DNA repair biological_process|GO:0140861 DNA repair-dependent chromatin remodeling biological_process|GO:0033696 heterochromatin boundary formation biological_process|GO:0043161 proteasome-mediated ubiquitin-dependent protein catabolic process biological_process|GO:0000209 protein polyubiquitination biological_process|GO:0045995 regulation of embryonic development biological_process|GO:0006511 ubiquitin-dependent protein catabolic process biological_process|GO:0016607 nuclear speck cellular_component|GO:0005654 nucleoplasm cellular_component	mmu:14897 K10590 E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26] mmu04120 Ubiquitin mediated proteolysis	--	VFG043546(gb|WP_010948344)	G4NHH2|PHI:11101|Upl3_(mgg_03841)|318829|Magnaporthe_oryzae|reduced_virulence	--	10090.ENSMUSP00000027421 COG5021@1|root,KOG0168@2759|Eukaryota,KOG0170@2759|Eukaryota,38DVI@33154|Opisthokonta,3BED2@33208|Metazoa,3CSMN@33213|Bilateria,4837H@7711|Chordata,494RR@7742|Vertebrata,3JDQQ@40674|Mammalia,35BVX@314146|Euarchontoglires,4PSNC@9989|Rodentia negative regulation of histone ubiquitination	--	BAE22126.1 unnamed protein product, partial [Mus musculus]	PF00632.29|HECT|HECT-domain (ubiquitin-transferase)
ENSMUSG00000026384(Ptpn4)	6.53730762136599	4.44769424759179	0.0114682596212707	NA	Up	13	16	0	1	sp|P11260|LORF1_MOUSE LINE-1 retrotransposable element ORF1 protein OS=Mus musculus OX=10090 GN=Lire1 PE=1 SV=2	GO:0000166 nucleotide binding molecular_function|GO:0003727 single-stranded RNA binding molecular_function|GO:0032197 retrotransposition biological_process|GO:0005737 cytoplasm cellular_component|GO:0036464 cytoplasmic ribonucleoprotein granule cellular_component|GO:0010494 cytoplasmic stress granule cellular_component|GO:0005730 nucleolus cellular_component|GO:1990904 ribonucleoprotein complex cellular_component	mmu:15289 K10802 high mobility group protein B1 mmu03410 Base excision repair|:::|mmu04140 Autophagy - animal|:::|mmu04217 Necroptosis|:::|mmu04613 Neutrophil extracellular trap formation	--	VFG018502(gb|WP_024131770)	Q8IFL9|PHI:4105|Fikk4.2|5833|Plasmodium_falciparum|reduced_virulence	--	10116.ENSRNOP00000066488 KOG1075@1|root,KOG1075@2759|Eukaryota,39RKB@33154|Opisthokonta,3BK61@33208|Metazoa,3E43G@33213|Bilateria,48JXY@7711|Chordata,49GK2@7742|Vertebrata,3JJ5B@40674|Mammalia,35U9R@314146|Euarchontoglires Reverse transcriptase (RNA-dependent DNA polymerase)	--	AAQ96270.1 LRRGT00057 [Rattus norvegicus]	PF08333.15|DUF1725|Protein of unknown function (DUF1725)
ENSMUSG00000026223(Itm2c)	220.374360176419	-1.26491760325492	8.42909842542678e-08	2.3992228498334e-06	Down	162	142	324	235	sp|Q5PQL7|ITM2C_RAT Integral membrane protein 2C OS=Rattus norvegicus OX=10116 GN=Itm2c PE=1 SV=1	GO:0001540 amyloid-beta binding molecular_function|GO:0005524 ATP binding molecular_function|GO:0042985 negative regulation of amyloid precursor protein biosynthetic process biological_process|GO:0010977 negative regulation of neuron projection development biological_process|GO:0030182 neuron differentiation biological_process|GO:2001238 positive regulation of extrinsic apoptotic signaling pathway biological_process|GO:0005794 Golgi apparatus cellular_component|GO:0005765 lysosomal membrane cellular_component|GO:0005764 lysosome cellular_component|GO:0048471 perinuclear region of cytoplasm cellular_component|GO:0005886 plasma membrane cellular_component	mmu:64294 K18265 integral membrane protein 2C --	--	VFG025273(gb|WP_004528792)	Q9P8L8|PHI:544|Bcmfs1|40559|Botrytis_cinerea|unaffected_pathogenicity	--	9361.ENSDNOP00000034950 KOG4681@1|root,KOG4681@2759|Eukaryota,39TUN@33154|Opisthokonta,3BEZK@33208|Metazoa,3CUET@33213|Bilateria,489VM@7711|Chordata,4947C@7742|Vertebrata,3JE0Q@40674|Mammalia negative regulation of amyloid precursor protein biosynthetic process	--	EDL40250.1 integral membrane protein 2C, isoform CRA_a [Mus musculus]	PF04089.18|BRICHOS|BRICHOS domain
ENSMUSG00000049690(Nckap5)	2.58034875448142	4.63684571966235	0.0401037557582427	NA	Up	5	7	0	0	sp|P11369|LORF2_MOUSE LINE-1 retrotransposable element ORF2 protein OS=Mus musculus OX=10090 GN=Pol PE=1 SV=2	GO:0004519 endonuclease activity molecular_function|GO:0046872 metal ion binding molecular_function|GO:0003964 RNA-directed DNA polymerase activity molecular_function|GO:0006310 DNA recombination biological_process	mmu:118568308 -- -- --	--	VFG005163(gb|WP_044564880)	Q3BQU4|PHI:4869|Xopap|339|Xanthomonas_campestris|effector_(plant_avirulence_determinant)	--	9544.ENSMMUP00000041320 2CZE2@1|root,2S9XJ@2759|Eukaryota,3AJ63@33154|Opisthokonta,3BX24@33208|Metazoa,3DD5X@33213|Bilateria,48KPS@7711|Chordata,49HE8@7742|Vertebrata,3JF0N@40674|Mammalia,35RYM@314146|Euarchontoglires -	--	EDL00477.1 mCG1042576, partial [Mus musculus]	PF00552.25|IN_DBD_C|Integrase DNA binding domain
ENSMUSG00000099471(Gm8451)	605.76562335475	-1.02333664208112	2.18630861318777e-09	9.15844110060286e-08	Down	481	455	804	646	sp|P14115|RL27A_MOUSE Large ribosomal subunit protein uL15 OS=Mus musculus OX=10090 GN=Rpl27a PE=1 SV=5	GO:0003735 structural constituent of ribosome molecular_function|GO:0002181 cytoplasmic translation biological_process|GO:0006412 translation biological_process|GO:0140242 translation at postsynapse biological_process|GO:0140236 translation at presynapse biological_process|GO:0005737 cytoplasm cellular_component|GO:0005829 cytosol cellular_component|GO:0022625 cytosolic large ribosomal subunit cellular_component|GO:0022626 cytosolic ribosome cellular_component|GO:0005783 endoplasmic reticulum cellular_component|GO:0098794 postsynapse cellular_component|GO:0098793 presynapse cellular_component|GO:0005840 ribosome cellular_component|GO:0045202 synapse cellular_component	mmu:26451 K02900 large subunit ribosomal protein L27Ae mmu03010 Ribosome|:::|mmu05171 Coronavirus disease - COVID-19	--	VFG027620(gb|WP_015303309)	N4X8R0|PHI:11249|Cdc14|5016|Bipolaris_maydis|reduced_virulence	WP_013336028_1|COG0200|Ribosomal protein L15	185453.XP_006872076.1 COG0200@1|root,KOG1742@2759|Eukaryota,3A1NK@33154|Opisthokonta,3BHMY@33208|Metazoa,3D0IR@33213|Bilateria,483VZ@7711|Chordata,49359@7742|Vertebrata,3J77V@40674|Mammalia,34XNA@311790|Afrotheria 60S ribosomal protein	--	XP_045744561.1 60S ribosomal protein L27a-like [Mirounga angustirostris]	PF00828.23|Ribosomal_L27A|Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
