id	baseMean	log2FoldChange	pvalue	padj	Direction	WR260145T	WR260146T	WR260141T	WR260142T	Uniprot	GO	KEGG	Card	VFDB	PHI	COG	eggNOG	CAZy	NT	Pfam
ENSMUSG00000039748(Exo1)	2.49833627338939	1.77512207244292	0.35732965118086	NA	No	4	5	1	1	sp|Q9QZ11|EXO1_MOUSE Exonuclease 1 OS=Mus musculus OX=10090 GN=Exo1 PE=2 SV=2	GO:0035312 5'-3' DNA exonuclease activity molecular_function|GO:0008409 5'-3' exonuclease activity molecular_function|GO:0017108 5'-flap endonuclease activity molecular_function|GO:0003682 chromatin binding molecular_function|GO:0003677 DNA binding molecular_function|GO:0051908 double-stranded DNA 5'-3' DNA exonuclease activity molecular_function|GO:0048256 flap endonuclease activity molecular_function|GO:0046872 metal ion binding molecular_function|GO:0045145 single-stranded DNA 5'-3' DNA exonuclease activity molecular_function|GO:0006310 DNA recombination biological_process|GO:0002455 humoral immune response mediated by circulating immunoglobulin biological_process|GO:0045190 isotype switching biological_process|GO:0051321 meiotic cell cycle biological_process|GO:0006298 mismatch repair biological_process|GO:0006139 nucleobase-containing compound metabolic process biological_process|GO:0016446 somatic hypermutation of immunoglobulin genes biological_process|GO:0016604 nuclear body cellular_component|GO:0005654 nucleoplasm cellular_component|GO:0005634 nucleus cellular_component|GO:0005886 plasma membrane cellular_component	mmu:26909 K10746 exonuclease 1 [EC:3.1.-.-] mmu03430 Mismatch repair	--	VFG043838(gb|AAO39720)	A0A0E0S657|PHI:1502|Gzhmg034|5518|Fusarium_graminearum|unaffected_pathogenicity	--	10090.ENSMUSP00000039376 COG0258@1|root,KOG2518@2759|Eukaryota,38FBD@33154|Opisthokonta,3BEAT@33208|Metazoa,3CUFW@33213|Bilateria,486V5@7711|Chordata,493JT@7742|Vertebrata,3JBEF@40674|Mammalia,35HX8@314146|Euarchontoglires,4Q05D@9989|Rodentia Xeroderma pigmentosum G N-region	--	NP_036142.2 exonuclease 1 [Mus musculus]	PF00752.21|XPG_N|XPG N-terminal domain
ENSMUSG00000057363(Uxs1)	58.8510808889564	0.294244879057784	0.462978003817021	0.659326505999278	No	81	71	50	44	sp|Q5PQX0|UXS1_RAT UDP-glucuronic acid decarboxylase 1 OS=Rattus norvegicus OX=10116 GN=Uxs1 PE=1 SV=1	GO:0042802 identical protein binding molecular_function|GO:0070403 NAD+ binding molecular_function|GO:0042803 protein homodimerization activity molecular_function|GO:0048040 UDP-glucuronate decarboxylase activity molecular_function|GO:0042732 D-xylose metabolic process biological_process|GO:0033320 UDP-D-xylose biosynthetic process biological_process|GO:1902494 catalytic complex cellular_component|GO:0005737 cytoplasm cellular_component|GO:0032580 Golgi cisterna membrane cellular_component	mpah:110323736 K01689 enolase 1/2/3 [EC:4.2.1.11] mpah00010 Glycolysis / Gluconeogenesis|:::|mpah01100 Metabolic pathways|:::|mpah01200 Carbon metabolism|:::|mpah01230 Biosynthesis of amino acids|:::|mpah03018 RNA degradation|:::|mpah04066 HIF-1 signaling pathway|:::|mpah04820 Cytoskeleton in muscle cells	--	VFG022356(gb|WP_041319124)	B9WGE7|PHI:4835|Csr1/zap1|42374|Candida_dubliniensis|reduced_virulence	NP_681454_1|COG0451|Nucleoside-diphosphate-sugar epimerase	42099.EPrPV00000020875 2F1ZE@1|root,2T2X8@2759|Eukaryota,1MHNR@121069|Pythiales function. Source PGD	--	XP_006986965.3 bifunctional enolase 2/transcriptional activator-like [Peromyscus maniculatus bairdii]	PF11803.12|UXS1_N|UDP-glucuronate decarboxylase N-terminal
ENSMUSG00000090243(Gm16103)	0.633572030698393	-2.99198364463134	0.469133800983705	NA	No	0	0	0	2	sp|P04764|ENOA_RAT Alpha-enolase OS=Rattus norvegicus OX=10116 GN=Eno1 PE=1 SV=4	GO:0001227 DNA-binding transcription repressor activity, RNA polymerase II-specific molecular_function|GO:0019899 enzyme binding molecular_function|GO:0051020 GTPase binding molecular_function|GO:0031072 heat shock protein binding molecular_function|GO:0042802 identical protein binding molecular_function|GO:0000287 magnesium ion binding molecular_function|GO:0004634 phosphopyruvate hydratase activity molecular_function|GO:0042803 protein homodimerization activity molecular_function|GO:0044877 protein-containing complex binding molecular_function|GO:0003723 RNA binding molecular_function|GO:0000977 RNA polymerase II transcription regulatory region sequence-specific DNA binding molecular_function|GO:0003714 transcription corepressor activity molecular_function|GO:0001222 transcription corepressor binding molecular_function|GO:0061621 canonical glycolysis biological_process|GO:0071456 cellular response to hypoxia biological_process|GO:0098761 cellular response to interleukin-7 biological_process|GO:0070371 ERK1 and ERK2 cascade biological_process|GO:0006094 gluconeogenesis biological_process|GO:0006096 glycolytic process biological_process|GO:0001701 in utero embryonic development biological_process|GO:0030308 negative regulation of cell growth biological_process|GO:0045892 negative regulation of DNA-templated transcription biological_process|GO:1903298 negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway biological_process|GO:0000122 negative regulation of transcription by RNA polymerase II biological_process|GO:2001171 positive regulation of ATP biosynthetic process biological_process|GO:0045933 positive regulation of muscle contraction biological_process|GO:0010756 positive regulation of plasminogen activation biological_process|GO:0009615 response to virus biological_process|GO:0005938 cell cortex cellular_component|GO:0009986 cell surface cellular_component|GO:0005737 cytoplasm cellular_component|GO:0005829 cytosol cellular_component|GO:0030426 growth cone cellular_component|GO:0016020 membrane cellular_component|GO:0045121 membrane raft cellular_component|GO:0005640 nuclear outer membrane cellular_component|GO:0000015 phosphopyruvate hydratase complex cellular_component|GO:0005886 plasma membrane cellular_component|GO:0097060 synaptic membrane cellular_component	mpah:110323736 K01689 enolase 1/2/3 [EC:4.2.1.11] mpah00010 Glycolysis / Gluconeogenesis|:::|mpah01100 Metabolic pathways|:::|mpah01200 Carbon metabolism|:::|mpah01230 Biosynthesis of amino acids|:::|mpah03018 RNA degradation|:::|mpah04066 HIF-1 signaling pathway|:::|mpah04820 Cytoskeleton in muscle cells	--	VFG005576(gb|WP_000022832)	A4VWH9|PHI:11234|Eno|1307|Streptococcus_suis|unaffected_pathogenicity	WP_064496902_1|COG0148|Enolase	10116.ENSRNOP00000064663 COG0148@1|root,KOG2670@2759|Eukaryota,38C66@33154|Opisthokonta,3BE2S@33208|Metazoa,3CU4G@33213|Bilateria,480BN@7711|Chordata,48V1P@7742|Vertebrata,3J1VU@40674|Mammalia,35E0A@314146|Euarchontoglires,4Q4U1@9989|Rodentia Alpha-enolase-like	--	XP_028613777.1 alpha-enolase [Grammomys surdaster]	PF00113.26|Enolase_C|Enolase, C-terminal TIM barrel domain
ENSMUSG00000100701(Gm19587)	4.41815541641883	-1.30483744130896	0.354343342008331	NA	No	4	2	5	6	sp|P61206|ARF3_RAT ADP-ribosylation factor 3 OS=Rattus norvegicus OX=10116 GN=Arf3 PE=2 SV=2	GO:0005525 GTP binding molecular_function|GO:0003924 GTPase activity molecular_function|GO:0006886 intracellular protein transport biological_process|GO:0006890 retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum biological_process|GO:0016192 vesicle-mediated transport biological_process|GO:0005794 Golgi apparatus cellular_component|GO:0048471 perinuclear region of cytoplasm cellular_component|GO:0005886 plasma membrane cellular_component	mmu:11840 K07937 ADP-ribosylation factor 1/2 mmu04072 Phospholipase D signaling pathway|:::|mmu04144 Endocytosis|:::|mmu05132 Salmonella infection|:::|mmu05134 Legionellosis	--	VFG042047(gb|WP_162939063)	Q5AND9|PHI:7009|Arf2|5476|Candida_albicans|reduced_virulence	--	4081.Solyc12g099080.1.1 COG1100@1|root,KOG0070@2759|Eukaryota,37PTM@33090|Viridiplantae Belongs to the small GTPase superfamily. Arf family	--	KAF3818696.1 hypothetical protein GH733_012113 [Mirounga leonina]	PF00025.25|Arf|ADP-ribosylation factor family
ENSMUSG00000100555(Gm8173)	5.12537639193847	0.505394016980504	0.711011755343377	NA	No	8	6	1	6	sp|Q8K363|DDX18_MOUSE ATP-dependent RNA helicase DDX18 OS=Mus musculus OX=10090 GN=Ddx18 PE=1 SV=1	GO:0005524 ATP binding molecular_function|GO:0016887 ATP hydrolysis activity molecular_function|GO:0003723 RNA binding molecular_function|GO:0003724 RNA helicase activity molecular_function|GO:0000463 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) biological_process|GO:0005694 chromosome cellular_component|GO:0005730 nucleolus cellular_component	mcal:110292347 K13179 ATP-dependent RNA helicase DDX18/HAS1 [EC:5.6.2.7] --	--	--	--	--	10090.ENSMUSP00000001724 COG0513@1|root,KOG0342@2759|Eukaryota,38D7H@33154|Opisthokonta,3BCGU@33208|Metazoa,3CUVG@33213|Bilateria,4819T@7711|Chordata,493S2@7742|Vertebrata,3J99Q@40674|Mammalia,35EKP@314146|Euarchontoglires,4Q2K3@9989|Rodentia DUF4217	--	BAB28424.3 unnamed protein product, partial [Mus musculus]	--
ENSMUSG00000101395(Gm8241)	0.66102560061274	0.596234934613863	0.874448039633371	NA	No	2	0	1	0	sp|Q8CFP6|DJC27_MOUSE DnaJ homolog subfamily C member 27 OS=Mus musculus OX=10090 GN=Dnajc27 PE=1 SV=1	GO:0005525 GTP binding molecular_function|GO:0003924 GTPase activity molecular_function|GO:0006886 intracellular protein transport biological_process|GO:0070374 positive regulation of ERK1 and ERK2 cascade biological_process|GO:0043410 positive regulation of MAPK cascade biological_process|GO:0071701 regulation of MAPK export from nucleus biological_process|GO:0005739 mitochondrion cellular_component|GO:0005634 nucleus cellular_component	mcoc:116080038 K19372 DnaJ homolog subfamily C member 27 --	--	--	G4MYS1|PHI:4736_PHI:11140|Moypt7_Mgg_08144_(moypt7)|318829|Magnaporthe_oryzae|loss_of_pathogenicity_reduced_virulence_unaffected_pathogenicity	WP_015117128_1|COG1100|GTPase SAR1 family domain	10090.ENSMUSP00000020986 COG1100@1|root,KOG0098@2759|Eukaryota,38V9Y@33154|Opisthokonta,3BFFJ@33208|Metazoa,3CUXI@33213|Bilateria,480AZ@7711|Chordata,48W54@7742|Vertebrata,3J6BK@40674|Mammalia,35FWI@314146|Euarchontoglires,4PU1D@9989|Rodentia homolog, subfamily C, member 27	--	XP_028633923.1 dnaJ homolog subfamily C member 27 [Grammomys surdaster]	PF00071.26|Ras|Ras family
ENSMUSG00000038702(Dsel)	7.291581206895	0.97041368856184	0.387731147852167	NA	No	16	7	6	3	sp|Q0VBN2|DSEL_MOUSE Dermatan-sulfate epimerase-like protein OS=Mus musculus OX=10090 GN=Dsel PE=2 SV=1	GO:0047757 chondroitin-glucuronate 5-epimerase activity molecular_function|GO:0008146 sulfotransferase activity molecular_function|GO:0030204 chondroitin sulfate metabolic process biological_process|GO:0030205 dermatan sulfate metabolic process biological_process|GO:0016020 membrane cellular_component	mmu:319901 K01794 chondroitin-glucuronate 5-epimerase [EC:5.1.3.19] mmu00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate|:::|mmu01100 Metabolic pathways	--	VFG043500(gb|WP_011206108)	Q54913|PHI:7614|Orf-1|1314|Streptococcus_pyogenes|reduced_virulence	--	10090.ENSMUSP00000043570 28HJ5@1|root,2QPWZ@2759|Eukaryota,38BIQ@33154|Opisthokonta,3BA6Y@33208|Metazoa,3CRP1@33213|Bilateria,48A3K@7711|Chordata,48X8F@7742|Vertebrata,3JDBN@40674|Mammalia,35DAV@314146|Euarchontoglires,4PXBC@9989|Rodentia Sulfotransferase domain	PL0 Polysaccharide lyases not yet assigned to a family.	EDL39837.1 mCG54574 [Mus musculus]	PF00685.31|Sulfotransfer_1|Sulfotransferase domain
ENSMUSG00000078184(Rbm8a2)	133.413050460304	-0.592109824020234	0.0372024086684339	0.129075755074894	No	121	128	167	121	--	--	mcal:110291320 K12876 RNA-binding protein 8A mcal03013 Nucleocytoplasmic transport|:::|mcal03015 mRNA surveillance pathway|:::|mcal03040 Spliceosome	--	--	Q7NBL9|PHI:7716|Mga_1079|2096|Mycoplasmoides_gallisepticum|reduced_virulence	--	--	--	--	--
ENSMUSG00000061024(Rrs1)	5.75011493178671	-0.276054656814982	0.822017042297628	NA	No	4	8	5	6	sp|P97929|BRCA2_MOUSE Breast cancer type 2 susceptibility protein homolog OS=Mus musculus OX=10090 GN=Brca2 PE=1 SV=2	GO:0043015 gamma-tubulin binding molecular_function|GO:0010484 histone H3 acetyltransferase activity molecular_function|GO:0010485 histone H4 acetyltransferase activity molecular_function|GO:0042802 identical protein binding molecular_function|GO:0002020 protease binding molecular_function|GO:0003697 single-stranded DNA binding molecular_function|GO:0007420 brain development biological_process|GO:0008283 cell population proliferation biological_process|GO:0071479 cellular response to ionizing radiation biological_process|GO:0090398 cellular senescence biological_process|GO:0051298 centrosome duplication biological_process|GO:0043009 chordate embryonic development biological_process|GO:0051276 chromosome organization biological_process|GO:0006974 DNA damage response biological_process|GO:0006978 DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator biological_process|GO:0006310 DNA recombination biological_process|GO:0006302 double-strand break repair biological_process|GO:0000724 double-strand break repair via homologous recombination biological_process|GO:0070200 establishment of protein localization to telomere biological_process|GO:0008585 female gonad development biological_process|GO:0071425 hematopoietic stem cell proliferation biological_process|GO:0030097 hemopoiesis biological_process|GO:0031619 homologous chromosome orientation in meiotic metaphase I biological_process|GO:0001833 inner cell mass cell proliferation biological_process|GO:0008630 intrinsic apoptotic signaling pathway in response to DNA damage biological_process|GO:0042771 intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator biological_process|GO:0007141 male meiosis I biological_process|GO:0030879 mammary gland development biological_process|GO:1990426 mitotic recombination-dependent replication fork processing biological_process|GO:0035264 multicellular organism growth biological_process|GO:0033600 negative regulation of mammary gland epithelial cell proliferation biological_process|GO:0006289 nucleotide-excision repair biological_process|GO:0001556 oocyte maturation biological_process|GO:0045893 positive regulation of DNA-templated transcription biological_process|GO:0045931 positive regulation of mitotic cell cycle biological_process|GO:0051865 protein autoubiquitination biological_process|GO:0032465 regulation of cytokinesis biological_process|GO:2000001 regulation of DNA damage checkpoint biological_process|GO:0006355 regulation of DNA-templated transcription biological_process|GO:0031297 replication fork processing biological_process|GO:0010332 response to gamma radiation biological_process|GO:0010225 response to UV-C biological_process|GO:0010165 response to X-ray biological_process|GO:0007283 spermatogenesis biological_process|GO:0072089 stem cell proliferation biological_process|GO:0000722 telomere maintenance via recombination biological_process|GO:0033593 BRCA2-MAGE-D1 complex cellular_component|GO:0005813 centrosome cellular_component|GO:0005694 chromosome cellular_component|GO:0000781 chromosome, telomeric region cellular_component|GO:0005737 cytoplasm cellular_component|GO:0005829 cytosol cellular_component|GO:1990391 DNA repair complex cellular_component|GO:0000800 lateral element cellular_component|GO:0000152 nuclear ubiquitin ligase complex cellular_component|GO:0005654 nucleoplasm cellular_component|GO:0005634 nucleus cellular_component|GO:0032991 protein-containing complex cellular_component|GO:0030141 secretory granule cellular_component	mmu:59014 K14852 regulator of ribosome biosynthesis --	--	--	H6VMG0|PHI:3594|Ptp2|5207|Cryptococcus_neoformans|reduced_virulence	--	--	--	AAH23403.1 RIKEN cDNA 4632415L05 gene [Mus musculus]	--
ENSMUSG00000025911(Adhfe1)	1.70515602593202	-0.0776570965702499	0.97359447687429	NA	No	4	0	1	2	sp|Q6URK4|ROA3_RAT Heterogeneous nuclear ribonucleoprotein A3 OS=Rattus norvegicus OX=10116 GN=Hnrnpa3 PE=1 SV=1	GO:0003730 mRNA 3'-UTR binding molecular_function|GO:0003729 mRNA binding molecular_function|GO:0051033 RNA transmembrane transporter activity molecular_function|GO:0000398 mRNA splicing, via spliceosome biological_process|GO:0051028 mRNA transport biological_process|GO:0071013 catalytic step 2 spliceosome cellular_component|GO:0098978 glutamatergic synapse cellular_component|GO:1990124 messenger ribonucleoprotein complex cellular_component|GO:0005634 nucleus cellular_component|GO:0098794 postsynapse cellular_component|GO:0014069 postsynaptic density cellular_component|GO:0035770 ribonucleoprotein granule cellular_component	mmu:229279 K12741 heterogeneous nuclear ribonucleoprotein A1/A3 mmu03040 Spliceosome|:::|mmu05014 Amyotrophic lateral sclerosis	--	VFG040447(gb|WP_011476845)	G4MY43|PHI:12179|Mofhb1_(mgg_01268)|318829|Magnaporthe_oryzae|unaffected_pathogenicity_reduced_virulence	WP_012873141_1|COG1454|Alcohol dehydrogenase, class IV	28737.XP_006882199.1 KOG0118@1|root,KOG0118@2759|Eukaryota,39ST6@33154|Opisthokonta,3BA81@33208|Metazoa,3CRMB@33213|Bilateria,485HG@7711|Chordata,48V1Y@7742|Vertebrata,3JD71@40674|Mammalia,352JA@311790|Afrotheria Heterogeneous nuclear ribonucleoprotein	--	XP_059108812.1 heterogeneous nuclear ribonucleoprotein A3-like [Peromyscus eremicus]	PF00076.26|RRM_1|RNA recognition motif
